"age","gender","COVID19_deaths.x","COVID19_deaths.y","COVID19_deaths"
"0-9","Female",217.190473105,404.139234765,68
"10-19","Female",269.42615651,415.136220745,53
"20-29","Female",1303.14283863,1894.230835055,215
"30-39","Female",4349.30795509,6818.1313076,898
"40-49","Female",8000.30730045,12718.01428587,1716
"50-59","Female",16008.862340385,25474.51802267,3443
"60-69","Female",21576.08649276,31616.3346925,3652
"70-79","Female",15970.372889455,25991.37636373,3645
"80+","Female",10097.982376135,12434.841896885,850
"0-9","Male",200.694994135,423.38396023,81
"10-19","Male",247.43218455,434.38094621,68
"20-29","Male",1201.420718315,6559.70213707,1949
"30-39","Male",3601.51290845,6018.100577555,879
"40-49","Male",8157.014350665,13182.636943525,1828
"50-59","Male",15464.511534375,25708.203974745,3726
"60-69","Male",20809.046720655,32974.46246103,4425
"70-79","Male",14887.169770425,24611.25462324,3537
"80+","Male",7057.315752665,17496.20469418,3797
