0years,1years,2years,3years,4years,5years,6years,7years,8years,9years,10years,11years,12years,13years,14years,15years,16years,17years
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0030120481927710845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0030120481927710845,0.002938706968933669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0030120481927710845,0.002938706968933669,0.0028665028665028664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0030120481927710845,0.002938706968933669,0.0028665028665028664,0.002793296089385475,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0030120481927710845,0.002938706968933669,0.0028665028665028664,0.002793296089385475,0.0027216174183514776,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0030120481927710845,0.002938706968933669,0.0028665028665028664,0.002793296089385475,0.0027216174183514776,3.5198873636043646e-4,0,0,0,0,0,0,0,0,0,0,0,0
0.0030120481927710845,0.002938706968933669,0.0028665028665028664,0.002793296089385475,0.0027216174183514776,3.5198873636043646e-4,3.5124692658939234e-4,0,0,0,0,0,0,0,0,0,0,0
0.0030120481927710845,0.002938706968933669,0.0028665028665028664,0.002793296089385475,0.0027216174183514776,3.5198873636043646e-4,3.5124692658939234e-4,3.5236081747709656e-4,0,0,0,0,0,0,0,0,0,0
