"","age","gender","COVID19_deaths"
"1","0-4","female",67
"2","0-4","male",100
"3","10-14","female",14
"4","10-14","male",29
"5","15-19","female",36
"6","15-19","male",43
"7","20-24","female",79
"8","20-24","male",80
"9","25-29","female",109
"10","25-29","male",172
"11","30-34","female",146
"12","30-34","male",227
"13","35-39","female",185
"14","35-39","male",290
"15","40-44","female",222
"16","40-44","male",427
"17","45-49","female",360
"18","45-49","male",634
"19","5-9","female",13
"20","5-9","male",14
"21","50-54","female",519
"22","50-54","male",874
"23","55-59","female",653
"24","55-59","male",1184
"25","60-64","female",869
"26","60-64","male",1479
"27","65-69","female",966
"28","65-69","male",1606
"29","70-74","female",975
"30","70-74","male",1438
"31","75-79","female",735
"32","75-79","male",904
"33","80+","female",1140
"34","80+","male",1063
