X.1,X,age,gender,death.x,death.y,death,child_age,nb_c,orphans
1,1,0-9,Female,0,0,0,0,0,0
1,1,0-9,Female,0,0,0,1,0,0
1,1,0-9,Female,0,0,0,2,0,0
1,1,0-9,Female,0,0,0,3,0,0
1,1,0-9,Female,0,0,0,4,0,0
1,1,0-9,Female,0,0,0,5,0,0
1,1,0-9,Female,0,0,0,6,0,0
1,1,0-9,Female,0,0,0,7,0,0
1,1,0-9,Female,0,0,0,8,0,0
1,1,0-9,Female,0,0,0,9,0,0
1,1,0-9,Female,0,0,0,10,0,0
1,1,0-9,Female,0,0,0,11,0,0
1,1,0-9,Female,0,0,0,12,0,0
1,1,0-9,Female,0,0,0,13,0,0
1,1,0-9,Female,0,0,0,14,0,0
1,1,0-9,Female,0,0,0,15,0,0
1,1,0-9,Female,0,0,0,16,0,0
1,1,0-9,Female,0,0,0,17,0,0
11,11,0-9,Male,0,0,0,0,0,0
11,11,0-9,Male,0,0,0,1,0,0
11,11,0-9,Male,0,0,0,2,0,0
11,11,0-9,Male,0,0,0,3,0,0
11,11,0-9,Male,0,0,0,4,0,0
11,11,0-9,Male,0,0,0,5,0,0
11,11,0-9,Male,0,0,0,6,0,0
11,11,0-9,Male,0,0,0,7,0,0
11,11,0-9,Male,0,0,0,8,0,0
11,11,0-9,Male,0,0,0,9,0,0
11,11,0-9,Male,0,0,0,10,0,0
11,11,0-9,Male,0,0,0,11,0,0
11,11,0-9,Male,0,0,0,12,0,0
11,11,0-9,Male,0,0,0,13,0,0
11,11,0-9,Male,0,0,0,14,0,0
11,11,0-9,Male,0,0,0,15,0,0
11,11,0-9,Male,0,0,0,16,0,0
11,11,0-9,Male,0,0,0,17,0,0
2,2,10-19,Female,23.1171232876712,47.6,30,0,0.0052034752034269,0
2,2,10-19,Female,23.1171232876712,47.6,30,1,0.00416272232805576,0
2,2,10-19,Female,23.1171232876712,47.6,30,2,0.00314692639972386,0
2,2,10-19,Female,23.1171232876712,47.6,30,3,0.00216037861633142,0
2,2,10-19,Female,23.1171232876712,47.6,30,4,0.0010454238751990501,0
2,2,10-19,Female,23.1171232876712,47.6,30,5,0,0
2,2,10-19,Female,23.1171232876712,47.6,30,6,0,0
2,2,10-19,Female,23.1171232876712,47.6,30,7,0,0
2,2,10-19,Female,23.1171232876712,47.6,30,8,0,0
2,2,10-19,Female,23.1171232876712,47.6,30,9,0,0
2,2,10-19,Female,23.1171232876712,47.6,30,10,0,0
2,2,10-19,Female,23.1171232876712,47.6,30,11,0,0
2,2,10-19,Female,23.1171232876712,47.6,30,12,0,0
2,2,10-19,Female,23.1171232876712,47.6,30,13,0,0
2,2,10-19,Female,23.1171232876712,47.6,30,14,0,0
2,2,10-19,Female,23.1171232876712,47.6,30,15,0,0
2,2,10-19,Female,23.1171232876712,47.6,30,16,0,0
2,2,10-19,Female,23.1171232876712,47.6,30,17,0,0
12,12,10-19,Male,23.1171232876712,1,0,0,7.8757613976348e-4,0
12,12,10-19,Male,23.1171232876712,1,0,1,6.30052158195784e-4,0
12,12,10-19,Male,23.1171232876712,1,0,2,4.72505544519864e-4,0
12,12,10-19,Male,23.1171232876712,1,0,3,3.1498112375813404e-4,0
12,12,10-19,Male,23.1171232876712,1,0,4,1.54922325278302e-4,0
12,12,10-19,Male,23.1171232876712,1,0,5,0,0
12,12,10-19,Male,23.1171232876712,1,0,6,0,0
12,12,10-19,Male,23.1171232876712,1,0,7,0,0
12,12,10-19,Male,23.1171232876712,1,0,8,0,0
12,12,10-19,Male,23.1171232876712,1,0,9,0,0
12,12,10-19,Male,23.1171232876712,1,0,10,0,0
12,12,10-19,Male,23.1171232876712,1,0,11,0,0
12,12,10-19,Male,23.1171232876712,1,0,12,0,0
12,12,10-19,Male,23.1171232876712,1,0,13,0,0
12,12,10-19,Male,23.1171232876712,1,0,14,0,0
12,12,10-19,Male,23.1171232876712,1,0,15,0,0
12,12,10-19,Male,23.1171232876712,1,0,16,0,0
12,12,10-19,Male,23.1171232876712,1,0,17,0,0
3,3,20-29,Female,0,130,134,0,0.0720451173806623,10
3,3,20-29,Female,0,130,134,1,0.06351913473017172,9
3,3,20-29,Female,0,130,134,2,0.05485392220278478,7
3,3,20-29,Female,0,130,134,3,0.04668146151715053,6
3,3,20-29,Female,0,130,134,4,0.0382436509606659,5
3,3,20-29,Female,0,130,134,5,0.02943100599372355,4
3,3,20-29,Female,0,130,134,6,0.02773602186602648,4
3,3,20-29,Female,0,130,134,7,0.02274628491362509,3
3,3,20-29,Female,0,130,134,8,0.017468672996684628,2
3,3,20-29,Female,0,130,134,9,0.01233237314918697,2
3,3,20-29,Female,0,130,134,10,0.00717036466253045,1
3,3,20-29,Female,0,130,134,11,0.006378200347158081,1
3,3,20-29,Female,0,130,134,12,0.00473551347361794,1
3,3,20-29,Female,0,130,134,13,0.00318339272827136,0
3,3,20-29,Female,0,130,134,14,0.0015904245817487301,0
3,3,20-29,Female,0,130,134,15,0,0
3,3,20-29,Female,0,130,134,16,0,0
3,3,20-29,Female,0,130,134,17,0,0
13,13,20-29,Male,23.1171232876712,1344.8,1279,0,0.0465936029476893,60
13,13,20-29,Male,23.1171232876712,1344.8,1279,1,0.03967943437471229,51
13,13,20-29,Male,23.1171232876712,1344.8,1279,2,0.03276358510631633,42
13,13,20-29,Male,23.1171232876712,1344.8,1279,3,0.025848702676952332,33
13,13,20-29,Male,23.1171232876712,1344.8,1279,4,0.01824111630725868,23
13,13,20-29,Male,23.1171232876712,1344.8,1279,5,0.011627778458469675,15
13,13,20-29,Male,23.1171232876712,1344.8,1279,6,0.00947027955108562,12
13,13,20-29,Male,23.1171232876712,1344.8,1279,7,0.008126370435905776,10
13,13,20-29,Male,23.1171232876712,1344.8,1279,8,0.005728920135251616,7
13,13,20-29,Male,23.1171232876712,1344.8,1279,9,0.003302824620014275,4
13,13,20-29,Male,23.1171232876712,1344.8,1279,10,0.001010640731959515,1
13,13,20-29,Male,23.1171232876712,1344.8,1279,11,8.388189369527959e-4,1
13,13,20-29,Male,23.1171232876712,1344.8,1279,12,6.29141906042295e-4,1
13,13,20-29,Male,23.1171232876712,1344.8,1279,13,3.7198252178395e-4,0
13,13,20-29,Male,23.1171232876712,1344.8,1279,14,1.85998235474632e-4,0
13,13,20-29,Male,23.1171232876712,1344.8,1279,15,0,0
13,13,20-29,Male,23.1171232876712,1344.8,1279,16,0,0
13,13,20-29,Male,23.1171232876712,1344.8,1279,17,0,0
4,4,30-39,Female,323.639726027397,795.4,464,0,0.06039808874855525,28
4,4,30-39,Female,323.639726027397,795.4,464,1,0.06626520275396745,31
4,4,30-39,Female,323.639726027397,795.4,464,2,0.072173748129629,33
4,4,30-39,Female,323.639726027397,795.4,464,3,0.07817141319104534,36
4,4,30-39,Female,323.639726027397,795.4,464,4,0.08404063871571127,39
4,4,30-39,Female,323.639726027397,795.4,464,5,0.09000156831157935,42
4,4,30-39,Female,323.639726027397,795.4,464,6,0.07910335918202963,37
4,4,30-39,Female,323.639726027397,795.4,464,7,0.07741199564080635,36
4,4,30-39,Female,323.639726027397,795.4,464,8,0.07532783592664917,35
4,4,30-39,Female,323.639726027397,795.4,464,9,0.07307526555507055,34
4,4,30-39,Female,323.639726027397,795.4,464,10,0.07117627823948411,33
4,4,30-39,Female,323.639726027397,795.4,464,11,0.0689454569268288,32
4,4,30-39,Female,323.639726027397,795.4,464,12,0.0610673452419124,28
4,4,30-39,Female,323.639726027397,795.4,464,13,0.053537373707454296,25
4,4,30-39,Female,323.639726027397,795.4,464,14,0.04588037051263873,21
4,4,30-39,Female,323.639726027397,795.4,464,15,0.038171258323264554,18
4,4,30-39,Female,323.639726027397,795.4,464,16,0.03434343813747813,16
4,4,30-39,Female,323.639726027397,795.4,464,17,0.02771692928252286,13
14,14,30-39,Male,300.522602739726,5492.8,5204,0,0.0698104663301928,363
14,14,30-39,Male,300.522602739726,5492.8,5204,1,0.07174361685398124,373
14,14,30-39,Male,300.522602739726,5492.8,5204,2,0.07367250243644356,383
14,14,30-39,Male,300.522602739726,5492.8,5204,3,0.07560106761428857,393
14,14,30-39,Male,300.522602739726,5492.8,5204,4,0.07258580529247259,378
14,14,30-39,Male,300.522602739726,5492.8,5204,5,0.0711233931929352,370
14,14,30-39,Male,300.522602739726,5492.8,5204,6,0.06550259372704034,341
14,14,30-39,Male,300.522602739726,5492.8,5204,7,0.06378910719756894,332
14,14,30-39,Male,300.522602739726,5492.8,5204,8,0.05832377968888288,304
14,14,30-39,Male,300.522602739726,5492.8,5204,9,0.053677173281941666,279
14,14,30-39,Male,300.522602739726,5492.8,5204,10,0.05226616860293285,272
14,14,30-39,Male,300.522602739726,5492.8,5204,11,0.046694101073957904,243
14,14,30-39,Male,300.522602739726,5492.8,5204,12,0.039053217573318616,203
14,14,30-39,Male,300.522602739726,5492.8,5204,13,0.030652149133406612,160
14,14,30-39,Male,300.522602739726,5492.8,5204,14,0.023223596231934568,121
14,14,30-39,Male,300.522602739726,5492.8,5204,15,0.015763448438613922,82
14,14,30-39,Male,300.522602739726,5492.8,5204,16,0.012797498558460284,67
14,14,30-39,Male,300.522602739726,5492.8,5204,17,0.00983109333780987,51
5,5,40-49,Female,531.693835616438,23,0,0,0.0038105962197971903,0
5,5,40-49,Female,531.693835616438,23,0,1,0.007476929622656255,0
5,5,40-49,Female,531.693835616438,23,0,2,0.011132077601760835,0
5,5,40-49,Female,531.693835616438,23,0,3,0.014762708923565465,0
5,5,40-49,Female,531.693835616438,23,0,4,0.01841272132326969,0
5,5,40-49,Female,531.693835616438,23,0,5,0.02214123240090484,0
5,5,40-49,Female,531.693835616438,23,0,6,0.025577779200868997,0
5,5,40-49,Female,531.693835616438,23,0,7,0.032120727904064304,0
5,5,40-49,Female,531.693835616438,23,0,8,0.03840445079199504,0
5,5,40-49,Female,531.693835616438,23,0,9,0.04519574560196598,0
5,5,40-49,Female,531.693835616438,23,0,10,0.05129254362031435,0
5,5,40-49,Female,531.693835616438,23,0,11,0.05626329332065611,0
5,5,40-49,Female,531.693835616438,23,0,12,0.0628733167450576,0
5,5,40-49,Female,531.693835616438,23,0,13,0.06936088366374185,0
5,5,40-49,Female,531.693835616438,23,0,14,0.07578573370618738,0
5,5,40-49,Female,531.693835616438,23,0,15,0.08193402980034614,0
5,5,40-49,Female,531.693835616438,23,0,16,0.0723564809572635,0
5,5,40-49,Female,531.693835616438,23,0,17,0.07376174405500593,0
15,15,40-49,Male,1040.27054794521,8055.4,7075,0,0.013004234420864914,92
15,15,40-49,Male,1040.27054794521,8055.4,7075,1,0.017588733516257258,124
15,15,40-49,Male,1040.27054794521,8055.4,7075,2,0.022171837851708873,157
15,15,40-49,Male,1040.27054794521,8055.4,7075,3,0.02675427457521485,189
15,15,40-49,Male,1040.27054794521,8055.4,7075,4,0.029036594528095698,205
15,15,40-49,Male,1040.27054794521,8055.4,7075,5,0.031571570646230854,223
15,15,40-49,Male,1040.27054794521,8055.4,7075,6,0.03760593417565443,266
15,15,40-49,Male,1040.27054794521,8055.4,7075,7,0.04389393288375113,311
15,15,40-49,Male,1040.27054794521,8055.4,7075,8,0.05004661793379296,354
15,15,40-49,Male,1040.27054794521,8055.4,7075,9,0.05647439236840046,400
15,15,40-49,Male,1040.27054794521,8055.4,7075,10,0.06624189693425925,469
15,15,40-49,Male,1040.27054794521,8055.4,7075,11,0.06942562495651158,491
15,15,40-49,Male,1040.27054794521,8055.4,7075,12,0.07273115756552409,515
15,15,40-49,Male,1040.27054794521,8055.4,7075,13,0.07120658756435232,504
15,15,40-49,Male,1040.27054794521,8055.4,7075,14,0.074820341282130165,529
15,15,40-49,Male,1040.27054794521,8055.4,7075,15,0.07828023470581724,554
15,15,40-49,Male,1040.27054794521,8055.4,7075,16,0.07319855015553893,518
15,15,40-49,Male,1040.27054794521,8055.4,7075,17,0.06811637058962747,482
6,6,50-59,Female,1433.26164383562,62,0,0,0,0
6,6,50-59,Female,1433.26164383562,62,0,1,3.13228115015974e-5,0
6,6,50-59,Female,1433.26164383562,62,0,2,6.428166636522579e-5,0
6,6,50-59,Female,1433.26164383562,62,0,3,8.68248845860785e-5,0
6,6,50-59,Female,1433.26164383562,62,0,4,1.256123974123232e-4,0
6,6,50-59,Female,1433.26164383562,62,0,5,1.72387240841627e-4,0
6,6,50-59,Female,1433.26164383562,62,0,6,7.651278923263755e-4,0
6,6,50-59,Female,1433.26164383562,62,0,7,0.001423587317752139,0
6,6,50-59,Female,1433.26164383562,62,0,8,0.0020490469895337823,0
6,6,50-59,Female,1433.26164383562,62,0,9,0.0026934709718963164,0
6,6,50-59,Female,1433.26164383562,62,0,10,0.0033607670128026393,0
6,6,50-59,Female,1433.26164383562,62,0,11,0.005655965390187745,0
6,6,50-59,Female,1433.26164383562,62,0,12,0.008313993939202806,0
6,6,50-59,Female,1433.26164383562,62,0,13,0.01112763647692153,0
6,6,50-59,Female,1433.26164383562,62,0,14,0.013838451692980805,0
6,6,50-59,Female,1433.26164383562,62,0,15,0.01664354422373036,0
6,6,50-59,Female,1433.26164383562,62,0,16,0.018004059551940538,0
6,6,50-59,Female,1433.26164383562,62,0,17,0.022841164761847305,0
