year,age,rate,gender,country
2002,15-19,37.210796496930406,M,England_Wales
2002,20-24,43.8,M,England_Wales
2002,25-29,75.8,M,England_Wales
2002,30-34,94.6,M,England_Wales
2002,35-39,60.8,M,England_Wales
2002,40-44,25.3,M,England_Wales
2002,45-49,8.1,M,England_Wales
2002,50-54,2.5,M,England_Wales
2002,55-59,0.9,M,England_Wales
2002,60-64,2.35597769482906,M,England_Wales
2003,15-19,36.99085354001018,M,England_Wales
2003,20-24,45.3,M,England_Wales
2003,25-29,77.7,M,England_Wales
2003,30-34,99.1,M,England_Wales
2003,35-39,64.3,M,England_Wales
2003,40-44,27.3,M,England_Wales
2003,45-49,8.8,M,England_Wales
2003,50-54,2.7,M,England_Wales
2003,55-59,0.9,M,England_Wales
2003,60-64,2.2705591731687105,M,England_Wales
2004,15-19,37.89991192488706,M,England_Wales
2004,20-24,46.2,M,England_Wales
2004,25-29,79.1,M,England_Wales
2004,30-34,102.2,M,England_Wales
2004,35-39,67.3,M,England_Wales
2004,40-44,28.5,M,England_Wales
2004,45-49,9.4,M,England_Wales
2004,50-54,2.8,M,England_Wales
2004,55-59,1,M,England_Wales
2004,60-64,2.2391957472792363,M,England_Wales
2005,15-19,37.88085342327027,M,England_Wales
2005,20-24,45.4,M,England_Wales
2005,25-29,78.2,M,England_Wales
2005,30-34,102.6,M,England_Wales
2005,35-39,68.6,M,England_Wales
2005,40-44,29.3,M,England_Wales
2005,45-49,9.7,M,England_Wales
2005,50-54,3,M,England_Wales
2005,55-59,1,M,England_Wales
2005,60-64,2.2552021569703298,M,England_Wales
2006,15-19,37.750252157755966,M,England_Wales
2006,20-24,46.4,M,England_Wales
2006,25-29,80.4,M,England_Wales
2006,30-34,106.3,M,England_Wales
2006,35-39,72.4,M,England_Wales
2006,40-44,30.3,M,England_Wales
2006,45-49,10.2,M,England_Wales
2006,50-54,3.2,M,England_Wales
2006,55-59,1,M,England_Wales
2006,60-64,2.1622446643433135,M,England_Wales
2007,15-19,36.76045411311097,M,England_Wales
2007,20-24,46.9,M,England_Wales
2007,25-29,81.8,M,England_Wales
2007,30-34,109.4,M,England_Wales
2007,35-39,75.4,M,England_Wales
2007,40-44,31.7,M,England_Wales
2007,45-49,10.7,M,England_Wales
2007,50-54,3.3,M,England_Wales
2007,55-59,1,M,England_Wales
2007,60-64,1.679301755746606,M,England_Wales
2008,15-19,37.99179041490458,M,England_Wales
2008,20-24,48.5,M,England_Wales
2008,25-29,83.9,M,England_Wales
2008,30-34,110.9,M,England_Wales
2008,35-39,77.4,M,England_Wales
2008,40-44,32.4,M,England_Wales
2008,45-49,11.1,M,England_Wales
2008,50-54,3.4,M,England_Wales
2008,55-59,1.1,M,England_Wales
2008,60-64,1.6890803054738344,M,England_Wales
2009,15-19,37.708362052328305,M,England_Wales
2009,20-24,49.1,M,England_Wales
2009,25-29,83.1,M,England_Wales
2009,30-34,108.6,M,England_Wales
2009,35-39,77.5,M,England_Wales
2009,40-44,32.9,M,England_Wales
2009,45-49,11.2,M,England_Wales
2009,50-54,3.5,M,England_Wales
2009,55-59,1.1,M,England_Wales
2009,60-64,1.7185149867778182,M,England_Wales
2010,15-19,35.70434851737022,M,England_Wales
2010,20-24,48.6,M,England_Wales
2010,25-29,84.6,M,England_Wales
2010,30-34,111.3,M,England_Wales
2010,35-39,80.3,M,England_Wales
2010,40-44,34,M,England_Wales
2010,45-49,11.4,M,England_Wales
2010,50-54,3.6,M,England_Wales
2010,55-59,1.1,M,England_Wales
2010,60-64,1.7205426111949973,M,England_Wales
2011,15-19,33.09834408355025,M,England_Wales
2011,20-24,46.2,M,England_Wales
2011,25-29,83.8,M,England_Wales
2011,30-34,110.5,M,England_Wales
2011,35-39,81.2,M,England_Wales
2011,40-44,35,M,England_Wales
2011,45-49,11.6,M,England_Wales
2011,50-54,3.7,M,England_Wales
2011,55-59,1.2,M,England_Wales
2011,60-64,1.7444308907670414,M,England_Wales
2012,15-19,32.24612876844373,M,England_Wales
2012,20-24,44.9,M,England_Wales
2012,25-29,84.1,M,England_Wales
2012,30-34,111.6,M,England_Wales
2012,35-39,83.5,M,England_Wales
2012,40-44,35.8,M,England_Wales
2012,45-49,11.9,M,England_Wales
2012,50-54,3.9,M,England_Wales
2012,55-59,1.2,M,England_Wales
2012,60-64,2.266701180223732,M,England_Wales
2013,15-19,28.42190926147795,M,England_Wales
2013,20-24,40.4,M,England_Wales
2013,25-29,80.3,M,England_Wales
2013,30-34,107.5,M,England_Wales
2013,35-39,81.2,M,England_Wales
2013,40-44,34.8,M,England_Wales
2013,45-49,11.4,M,England_Wales
2013,50-54,3.7,M,England_Wales
2013,55-59,1.2,M,England_Wales
2013,60-64,2.321895606008231,M,England_Wales
2014,15-19,25.057806431036642,M,England_Wales
2014,20-24,37.7,M,England_Wales
2014,25-29,79.2,M,England_Wales
2014,30-34,106.7,M,England_Wales
2014,35-39,82.3,M,England_Wales
2014,40-44,35.5,M,England_Wales
2014,45-49,11.7,M,England_Wales
2014,50-54,3.8,M,England_Wales
2014,55-59,1.2,M,England_Wales
2014,60-64,2.423949330959677,M,England_Wales
