age,gender,nb_covid19,nb_excess,deaths,nb_c,orphans
00-04,female,1,-143,1,0,0
00-04,male,2,-171,2,0,0
05-09,female,5,-41,5,0,0
05-09,male,0,-5,0,0,0
10-14,female,7,17,17,0,0
10-14,male,6,-33,6,0,0
15-19,female,11,-20,11,0.0364040206312512,0.4004442269437632
15-19,male,20,-37,20,0.05860309983547371,1.1720619967094743
20-24,female,35,-11,35,0.22898738304636684,8.01455840662284
20-24,male,47,-52,47,0.21208121202814845,9.967816965322976
25-29,female,65,24,65,0.6836879469852725,44.43971655404271
25-29,male,92,22,92,0.563895743061436,51.878408361652106
30-34,female,130,135,135,1.2922294520764679,174.45097603032318
30-34,male,203,201,203,1.0907940246658303,221.43118700716354
35-39,female,227,295,295,1.5904125304550891,469.1716964842513
35-39,male,354,482,482,1.4112813287092179,680.237600437843
40-44,female,376,338,376,1.3937807638539015,524.061567209067
40-44,male,552,525,552,1.4465654312374587,798.5041180430773
45-49,female,750,443,750,0.8815957690385412,661.1968267789059
45-49,male,1152,717,1152,1.120172609855472,1290.438846553504
50-54,female,1347,795,1347,0.35472302951899365,477.81192076208447
50-54,male,2143,2028,2143,0.609580467388934,1306.3309416144855
55-59,female,2015,1634,2015,0.07894502105554493,159.07421742692304
55-59,male,3648,3428,3648,0.24954688966385896,910.3470534937575
60-64,female,3003,2115,3003,0.008423651843752003,25.296226486787265
60-64,male,5558,4070,5558,0.09088992853465648,505.16622279562074
65-69,female,4202,808,4202,3.075716082019934e-4,1.2924158976647764
65-69,male,7137,2416,7137,0.0362517595969818,258.7288082436591
70-74,female,6760,5052,6760,0,0
70-74,male,11077,8394,11077,0.015449846076685177,171.1379449914417
75-79,female,9819,6338,9819,0,0
75-79,male,14731,9933,14731,0.00976568105779134,143.85824766232423
80-84,female,14490,6932,14490,0,0
80-84,male,18557,11027,18557,0.0013669581497304103,25.366642384547223
85-89,female,17989,6281,17989,0,0
85-89,male,18601,10730,18601,0,0
90+,female,24594,10897,24594,0,0
90+,male,16115,10904,16115,0,0
