country,year,age,value,gender
Argentina,2004,15 - 19,103809,Female
Argentina,2004,20 - 24,191218,Female
Argentina,2004,25 - 29,189560,Female
Argentina,2004,30 - 34,144983,Female
Argentina,2004,35 - 39,74936,Female
Argentina,2004,40 - 44,21997,Female
Argentina,2004,45 - 49,1392,Female
Argentina,2004,50+     ,102,Female
Argentina,2004,Unk,5635,Female
Argentina,2006,0 - 14,2766,Female
Argentina,2006,15 - 19,103885,Female
Argentina,2006,20 - 24,174342,Female
Argentina,2006,25 - 29,176931,Female
Argentina,2006,30 - 34,139003,Female
Argentina,2006,35 - 39,73177,Female
Argentina,2006,40 - 44,19866,Female
Argentina,2006,45 - 49,1405,Female
Argentina,2006,50 +,83,Female
Argentina,2006,Unknown - Inconnu,4993,Female
Argentina,2007,0 - 14,2841,Female
Argentina,2007,15 - 19,106720,Female
Argentina,2007,20 - 24,174679,Female
Argentina,2007,25 - 29,175632,Female
Argentina,2007,30 - 34,139393,Female
Argentina,2007,35 - 39,73532,Female
Argentina,2007,40 - 44,19879,Female
Argentina,2007,45 - 49,1428,Female
Argentina,2007,50 +,69,Female
Argentina,2007,Unknown - Inconnu,6619,Female
Argentina,2009,0 - 14,3346,Female
Argentina,2009,15 - 19,113478,Female
Argentina,2009,20 - 24,182747,Female
Argentina,2009,25 - 29,178935,Female
Argentina,2009,30 - 34,155464,Female
Argentina,2009,35 - 39,81397,Female
Argentina,2009,40 - 44,20840,Female
Argentina,2009,45 - 49,1440,Female
Argentina,2009,50 +,106,Female
Argentina,2009,Unknown - Inconnu,7583,Female
Argentina,2010,0 - 14,3117,Female
Argentina,2010,15 - 19,114474,Female
Argentina,2010,20 - 24,184399,Female
Argentina,2010,25 - 29,174780,Female
Argentina,2010,30 - 34,160524,Female
Argentina,2010,35 - 39,84658,Female
Argentina,2010,40 - 44,21363,Female
Argentina,2010,45 - 49,1527,Female
Argentina,2010,50 +,88,Female
Argentina,2010,Unknown - Inconnu,11246,Female
Argentina,2011,0 - 14,3156,Female
Argentina,2011,15 - 19,115856,Female
Argentina,2011,20 - 24,186004,Female
Argentina,2011,25 - 29,173015,Female
Argentina,2011,30 - 34,161321,Female
Argentina,2011,35 - 39,87141,Female
Argentina,2011,40 - 44,22665,Female
Argentina,2011,45 - 49,1537,Female
Argentina,2011,50 +,129,Female
Argentina,2011,Unknown - Inconnu,7218,Female
Argentina,2013,0 - 14,3261,Female
Argentina,2013,15 - 19,114125,Female
Argentina,2013,20 - 24,185621,Female
Argentina,2013,25 - 29,170655,Female
Argentina,2013,30 - 34,158021,Female
Argentina,2013,35 - 39,91091,Female
Argentina,2013,40 - 44,23124,Female
Argentina,2013,45 +,1520,Female
Argentina,2013,Total,2832590,Female
Argentina,2013,Unknown - Inconnu,7185,Female
Argentina,2014,0 - 14,3007,Female
Argentina,2014,15 - 19,113945,Female
Argentina,2014,20 - 24,192415,Female
Argentina,2014,25 - 29,177190,Female
Argentina,2014,30 - 34,160012,Female
Argentina,2014,35 - 39,95509,Female
Argentina,2014,40 - 44,24305,Female
Argentina,2014,45 +,1624,Female
Argentina,2014,Total,2913121,Female
Argentina,2014,Unknown - Inconnu,9005,Female
Argentina,2015,0 - 14,2787,Female
Argentina,2015,15 - 19,108912,Female
Argentina,2015,20 - 24,189542,Female
Argentina,2015,25 - 29,175362,Female
Argentina,2015,30 - 34,155082,Female
Argentina,2015,35 - 39,98623,Female
Argentina,2015,40 - 44,25346,Female
Argentina,2015,45 +,1755,Female
Argentina,2015,Total,2952969,Female
Argentina,2015,Unknown - Inconnu,12631,Female
Argentina,2016,0 - 14,2419,Female
Argentina,2016,15 - 19,96905,Female
Argentina,2016,20 - 24,178069,Female
Argentina,2016,25 - 29,170356,Female
Argentina,2016,30 - 34,149478,Female
Argentina,2016,35 - 39,96943,Female
Argentina,2016,40 +,27215,Female
Argentina,2016,Total,2803080,Female
