"country","region","date","primary_secondary","ps_lower","ps_upper","primary","p_lower","p_upper","orphanhood","or_lower","or_upper"
"Global","Global",2021-12-31,12857528.1850198,12242742.4963011,13495730.6311943,10277362.4299102,9729653.36285038,10842019.2319873,9715963.37463591,9194349.68613834,10253484.5171079
"African ","African ",2021-12-31,3837989.53288873,3491229.74998981,4174974.42684833,3430773.6047982,3117930.20106117,3733312.08695568,3254835.88302788,2956377.37994043,3544298.73623084
"Americas","Americas",2021-12-31,1752772.41920186,1670695.02034665,1852308.81220398,1314300.31929106,1240394.03029911,1409588.20480708,1210687.83219346,1141550.47641,1300373.71478433
"Eastern Mediterranean","Eastern Mediterranean",2021-12-31,3138466.95512658,2735046.64356846,3539098.44574832,2832141.61800693,2458870.31578757,3200876.96742415,2685976.15980031,2330342.15998696,3035422.00332215
"European","European",2021-12-31,471351.003420871,448434.453404844,509839.059006961,316282.501528477,297019.048288528,351694.096507689,278325.101305359,260182.713815036,311669.406058387
"South-East Asia","South-East Asia",2021-12-31,3429353.88524337,3126283.85713562,3767170.70005584,2221461.28279114,2004339.64305431,2492622.20261078,2137784.91407026,1931910.89263936,2395567.66478235
"Western Pacific","Western Pacific",2021-12-31,227594.389138408,203095.334799392,259011.755240689,162403.103494404,143538.817596954,187977.474984376,148353.484238644,130788.7032943,172072.891965754
"Afghanistan","Eastern Mediterranean",2021-12-31,388438.151325913,279446.440339628,491278.228296153,353758.736017161,254280.438374111,446841.44317601,336590.107819353,241941.990729067,425173.316228453
"Albania","European",2021-12-31,693.642170237662,402.25717552286,1175.76604825115,462.420151075162,235.776387893202,881.674330107176,427.588685337974,216.255004237687,822.312274494714
"Algeria","African ",2021-12-31,66901.3673009735,46095.2067675483,90645.4226985056,59775.0970263541,39142.9800637459,83082.5928876179,56148.8553237973,36475.5804364708,78456.1675121134
"Andorra","European",2021-12-31,5.32354063294623,3.84902873321714,7.29365501135824,2.87162415616662,1.9608281602531,4.16810966759486,2.61849686533576,1.78223622207544,3.81531819076381
"Angola","African ",2021-12-31,138524.203187429,90183.3125210852,187599.79964464,122747.938026161,79937.3172495046,166156.527257121,116768.716233708,76043.9578337916,158061.27084682
"Antigua and Barbuda","Americas",2021-12-31,44.0652462582078,27.6800080830868,68.112896508108,27.6865781928409,15.1687121127733,48.9454523067369,25.0458970709267,13.5767505682554,44.8037642539705
