"country","region","date","primary_secondary","ps_lower","ps_upper","primary","p_lower","p_upper","orphanhood","or_lower","or_upper"
"Global","Global",2021-12-31,9397110.21228517,8692411.24428165,10123511.7347432,7135656.5278537,6633058.26853256,7680078.08026456,6758068.83279462,6272981.6183184,7282128.66501528
"African ","African ",2021-12-31,2271910.417008,2067693.81321797,2473509.95504283,2012774.34019079,1831447.69007993,2192432.47901155,1910703.53844127,1736253.57662201,2084292.90212394
"Americas","Americas",2021-12-31,1285870.81369948,1220215.30437276,1356202.25947777,961076.970109597,908142.079915177,1020643.96027362,884389.075264167,835772.793967441,939656.370940633
"Eastern Mediterranean","Eastern Mediterranean",2021-12-31,1395996.32532485,1191963.7301665,1596343.15983703,1260207.61691168,1068919.11911342,1445624.36526794,1196242.99055819,1013682.31491525,1372675.90117032
"European","European",2021-12-31,410455.390506029,380800.605250888,454329.596691786,268959.810529346,245922.711071095,307990.612324469,234497.406780349,213388.107265281,271006.690541029
"South-East Asia","South-East Asia",2021-12-31,3907444.77831245,3266595.500985,4561750.0954361,2543385.57834268,2112811.82538587,3014112.75493117,2451406.92761424,2035590.56754096,2903563.4311305
"Western Pacific","Western Pacific",2021-12-31,125432.487434367,101988.138687154,149720.884637817,89252.211769598,72052.5393622717,107284.755344677,80828.8941364104,65196.5702952506,97312.3331751235
"Afghanistan","Eastern Mediterranean",2021-12-31,90497.1101081996,62383.4086538704,117957.613028032,82417.6079919133,56892.3396474316,107281.133744831,78417.7144924713,54133.4384707074,102074.177556866
"Albania","European",2021-12-31,508.751529894423,294.98057031908,865.960574937788,339.161846565489,173.272239680495,654.534612926003,313.614724082743,158.888633809182,610.461698412109
"Algeria","African ",2021-12-31,85939.2804224275,55385.9703851977,119226.333371261,76785.1096751935,47328.3751622662,109193.518654744,72126.9596981752,44097.2676699354,103052.339953991
"Andorra","European",2021-12-31,6.11078532135967,4.13592787437977,8.69153035257223,3.29627966646198,2.11967723691996,4.95389752024523,3.00571993565578,1.9254015753457,4.53174305862578
"Angola","African ",2021-12-31,49358.1419313778,28810.8261550856,69930.9890994996,43736.8344843078,25532.4869889285,62000.237253777,41606.3527989395,24288.560732317,58980.7938807425
"Argentina","Americas",2021-12-31,32101.674915543,22568.0753836474,41721.4809661537,25022.7123183928,17591.4328268082,32521.1883323847,23557.8846539797,16561.6316952006,30617.4004558863
"Armenia","European",2021-12-31,1249.32161393894,730.240716218761,2109.67893052504,928.191571068243,478.442868229555,1770.38266765521,864.493412848848,441.914851761056,1662.62588570186
"Austria","European",2021-12-31,506.677166149896,293.572631101917,875.504774758792,342.327003793148,174.746851930281,671.366464965341,316.822443183193,160.350913035374,626.881792033356
"Azerbaijan","European",2021-12-31,5974.12854954353,3431.24390942185,10116.312101447,4986.73395379975,2542.06308024022,9441.38089582942,4681.15122647768,2367.69883723995,8931.21526695967
"Bahamas","Americas",2021-12-31,235.750052927184,133.036744969178,397.050899482253,129.444622130419,64.4194649734265,248.132974158132,115.876192996747,57.1386850665836,224.608260316021
"Bahrain","Eastern Mediterranean",2021-12-31,222.99413729799,82.3009119230948,423.380895825965,135.591215966832,46.3151707325037,285.240135160377,122.333943179751,41.5292443232883,260.105592166166
"Bangladesh","South-East Asia",2021-12-31,50722.4673394132,23237.1604772661,92313.9166663628,31514.7129336215,13229.1428241707,63778.6765346078,28482.8672284792,11846.2053943486,58296.5036878534
"Belarus","Eastern European",2021-12-31,12083.6376011787,6926.00741862582,19939.3643082217,6734.37642111901,3365.15568187122,12714.8388245308,6035.17868459408,2984.85801098076,11529.4141051483
"Belgium","European",2021-12-31,1067.15468846188,619.035105765299,1814.67183703058,780.869325692494,399.163813593327,1502.04490097916,726.540882956039,368.222776838523,1409.60007965804
"Belize","Americas",2021-12-31,396.815713187505,231.518332456609,624.620751497052,284.099620824916,147.64195113477,494.649710827501,259.968494070935,133.449261693152,457.277927281986
"Benin","African ",2021-12-31,25467.3109338145,16190.2036668198,34690.4875962189,22722.8271191196,14456.0062844621,30932.5573083928,21618.7826923807,13753.531012386,29429.6909089687
"Bolivia (Plurinational State of)","Americas",2021-12-31,86071.4337704293,61126.549665592,112199.313727577,72666.6221101774,46636.8238904075,100998.850316256,67700.2982365336,42947.7704664853,94989.2968353773
"Bosnia and Herzegovina","European",2021-12-31,314.855210650031,167.283077899052,568.477018259122,178.097863636798,84.6487632713831,361.334105560975,162.906552679358,76.7901748995248,333.108847364987
"Botswana","African ",2021-12-31,8268.54399646633,5724.63042121209,11099.4746550639,7219.32835664875,4663.46794171227,10082.7459640685,6757.05750423238,4320.46011967287,9500.22816490806
"Brazil","Americas",2021-12-31,240511.16785892,198105.945883384,282608.742852658,164965.388524124,135879.862139131,193839.901406781,143114.675137347,117881.711440976,168164.575409891
"Bulgaria","Eastern European",2021-12-31,11097.3877046545,6611.20464138859,17899.4977538062,5769.5638644235,2987.90796515419,10669.5926086728,5144.21015489336,2638.21208785674,9610.41730099535
"Burkina Faso","African ",2021-12-31,47933.3472177752,33567.2955016294,62194.2790204055,42596.5127892858,29830.1765583425,55294.6169647217,40523.9323052829,28378.7642230595,52607.9063888811
"Burundi","African ",2021-12-31,20290.3159807151,12156.910227182,28171.7204528423,17998.0951979957,10786.4523163516,24986.2889500701,17121.7486540594,10261.3064070958,23769.6007320477
"Cabo Verde","African ",2021-12-31,491.267335566686,278.500584869301,786.977961686125,344.230929709053,174.552573880265,610.071602042772,314.359288162282,157.682656041534,562.994755184208
"Cambodia","Western Pacific",2021-12-31,9707.31718850139,3929.71768276004,17071.0599552219,7638.36137487475,2926.26376673887,14245.0147750547,7057.04321473776,2687.37089267546,13258.13425895
"Cameroon","African ",2021-12-31,74896.4656584316,55670.4772664965,93896.1351096234,67181.587054768,49977.946326228,84243.957202847,63922.0663228035,47552.7050921756,80152.6257040901
"Canada","Americas",2021-12-31,3278.34356831077,1847.19354647089,5556.8172655941,1587.17066384295,783.093736368676,3062.90544873288,1407.99958423726,688.876951597016,2744.2882539493
"Central African Republic","African ",2021-12-31,13338.4500353785,8170.95100815655,18494.293481761,11940.6887438315,7317.65906420905,16545.6212999636,11361.0786079213,6962.64058646488,15742.2500901157
"Chad","African ",2021-12-31,41844.9841448375,29312.12744433,54353.0282436603,37060.8140747197,25964.146667544,48154.0031488735,35255.1637671574,24699.6032494761,45807.4781385366
"Chile","Americas",2021-12-31,7265.95658200314,4331.67846279467,11883.2201229493,3748.73366204532,1943.61174167665,7058.82178058224,3340.57002279996,1715.31078438443,6356.88617595009
"Colombia","Americas",2021-12-31,76967.655339171,65218.7604206919,88957.9999463416,52107.8397870566,44153.7254075908,60225.4179181403,46979.4400808202,39808.161413096,54298.0945667686
