"date","gender","age","COVID19_deaths","child_age","nb_c","orphans"
"2021-10-31","Male","0-5",794,0,0,0
"2021-10-31","Male","0-5",794,1,0,0
"2021-10-31","Male","0-5",794,2,0,0
"2021-10-31","Male","0-5",794,3,0,0
"2021-10-31","Male","0-5",794,4,0,0
"2021-10-31","Male","0-5",794,5,0,0
"2021-10-31","Male","0-5",794,6,0,0
"2021-10-31","Male","0-5",794,7,0,0
"2021-10-31","Male","0-5",794,8,0,0
"2021-10-31","Male","0-5",794,9,0,0
"2021-10-31","Male","0-5",794,10,0,0
"2021-10-31","Male","0-5",794,11,0,0
"2021-10-31","Male","0-5",794,12,0,0
"2021-10-31","Male","0-5",794,13,0,0
"2021-10-31","Male","0-5",794,14,0,0
"2021-10-31","Male","0-5",794,15,0,0
"2021-10-31","Male","0-5",794,16,0,0
"2021-10-31","Male","0-5",794,17,0,0
"2021-10-31","Female","0-5",714,0,0,0
"2021-10-31","Female","0-5",714,1,0,0
"2021-10-31","Female","0-5",714,2,0,0
"2021-10-31","Female","0-5",714,3,0,0
"2021-10-31","Female","0-5",714,4,0,0
"2021-10-31","Female","0-5",714,5,0,0
"2021-10-31","Female","0-5",714,6,0,0
"2021-10-31","Female","0-5",714,7,0,0
"2021-10-31","Female","0-5",714,8,0,0
"2021-10-31","Female","0-5",714,9,0,0
"2021-10-31","Female","0-5",714,10,0,0
"2021-10-31","Female","0-5",714,11,0,0
"2021-10-31","Female","0-5",714,12,0,0
"2021-10-31","Female","0-5",714,13,0,0
"2021-10-31","Female","0-5",714,14,0,0
"2021-10-31","Female","0-5",714,15,0,0
"2021-10-31","Female","0-5",714,16,0,0
"2021-10-31","Female","0-5",714,17,0,0
"2021-10-31","Male","10-15",226,0,0,0
"2021-10-31","Male","10-15",226,1,0,0
"2021-10-31","Male","10-15",226,2,0,0
"2021-10-31","Male","10-15",226,3,0,0
"2021-10-31","Male","10-15",226,4,0,0
"2021-10-31","Male","10-15",226,5,0,0
"2021-10-31","Male","10-15",226,6,0,0
"2021-10-31","Male","10-15",226,7,0,0
"2021-10-31","Male","10-15",226,8,0,0
"2021-10-31","Male","10-15",226,9,0,0
"2021-10-31","Male","10-15",226,10,0,0
"2021-10-31","Male","10-15",226,11,0,0
"2021-10-31","Male","10-15",226,12,0,0
"2021-10-31","Male","10-15",226,13,0,0
"2021-10-31","Male","10-15",226,14,0,0
"2021-10-31","Male","10-15",226,15,0,0
"2021-10-31","Male","10-15",226,16,0,0
"2021-10-31","Male","10-15",226,17,0,0
"2021-10-31","Female","10-15",188,0,0,0
"2021-10-31","Female","10-15",188,1,0,0
"2021-10-31","Female","10-15",188,2,0,0
"2021-10-31","Female","10-15",188,3,0,0
"2021-10-31","Female","10-15",188,4,0,0
"2021-10-31","Female","10-15",188,5,0,0
"2021-10-31","Female","10-15",188,6,0,0
"2021-10-31","Female","10-15",188,7,0,0
"2021-10-31","Female","10-15",188,8,0,0
"2021-10-31","Female","10-15",188,9,0,0
"2021-10-31","Female","10-15",188,10,0,0
"2021-10-31","Female","10-15",188,11,0,0
"2021-10-31","Female","10-15",188,12,0,0
"2021-10-31","Female","10-15",188,13,0,0
"2021-10-31","Female","10-15",188,14,0,0
"2021-10-31","Female","10-15",188,15,0,0
"2021-10-31","Female","10-15",188,16,0,0
"2021-10-31","Female","10-15",188,17,0,0
"2021-10-31","Male","100+",797,0,0,0
"2021-10-31","Male","100+",797,1,0,0
"2021-10-31","Male","100+",797,2,0,0
"2021-10-31","Male","100+",797,3,0,0
"2021-10-31","Male","100+",797,4,0,0
