"","age","gender","COVID19_deaths.x","COVID19_deaths.y","COVID19_deaths"
"1","0-5","M",714.225,1059.99,259
"2","10-15","M",200.25,301.71,76
"3","100+","M",716.895,1063.995,260
"4","15-20","M",477.93,711.555,175
"5","20-25","M",1001.25,1505.88,378
"6","25-30","M",1808.925,2703.375,670
"7","30-35","M",3523.065,5305.29,1335
"8","35-40","M",6043.545,9055.305,2256
"9","40-45","M",9118.05,13677.075,3415
"10","45-50","M",12518.295,18782.115,4692
"11","5-10","M",154.86,237.63,62
"12","50-55","M",17619.33,26442.345,6609
"13","55-60","M",24984.525,37424.055,9318
"14","60-65","M",33432.405,50206.68,12565
"15","65-70","M",40935.105,61702.365,15556
"16","70-75","M",43516.995,65328.225,16338
"17","75-80","M",39791.01,59918.805,15077
"18","80-85","M",34480.38,51950.19,13086
"19","85-90","M",23354.49,35137.2,8826
"20","90-95","M",11399.565,17168.1,4321
"21","95-100","M",3309.465,5022.27,1283
"22","0-5","F",640.8,953.19,234
"23","10-15","F",169.545,250.98,61
"24","100+","F",1121.4,1696.785,431
"25","15-20","F",452.565,658.155,154
"26","20-25","F",957.195,1437.795,360
"27","25-30","F",1456.485,2145.345,516
"28","30-35","F",2516.475,3782.055,948
"29","35-40","F",4067.745,6128.985,1544
"30","40-45","F",5796.57,8694.855,2171
"31","45-50","F",7590.81,11344.83,2812
"32","5-10","F",90.78,140.175,37
"33","50-55","F",10494.435,15845.115,4008
"34","55-60","F",15299.1,23124.87,5862
"35","60-65","F",21677.73,32667.45,8232
"36","65-70","F",27195.285,41093.97,10411
"37","70-75","F",29659.695,44627.715,11212
"38","75-80","F",29097.66,44095.05,11234
"39","80-85","F",29456.775,44394.09,11189
"40","85-90","F",23295.75,35122.515,8859
"41","90-95","F",14145.66,21330.63,5382
"42","95-100","F",4765.95,7207.665,1829
