"","X","age","gender","COVID19_deaths.x","COVID19_deaths.y","COVID19_deaths"
"1",1,"0-5","M",714.225,1050.645,269
"2",2,"10-15","M",200.25,299.04,66
"3",3,"100+","M",716.895,1057.32,264
"4",4,"15-20","M",477.93,704.88,177
"5",5,"20-25","M",1001.25,1477.845,374
"6",6,"25-30","M",1808.925,2674.005,715
"7",7,"30-35","M",3523.065,5237.205,1277
"8",8,"35-40","M",6043.545,8949.84,2139
"9",9,"40-45","M",9118.05,13531.56,3338
"10",10,"45-50","M",12518.295,18540.48,4506
"11",11,"5-10","M",154.86,234.96,62
"12",12,"50-55","M",17619.33,26143.305,6376
"13",13,"55-60","M",24984.525,37004.865,8854
"14",14,"60-65","M",33432.405,49624.62,12133
"15",15,"65-70","M",40935.105,61020.18,14957
"16",16,"70-75","M",43516.995,64593.975,15738
"17",17,"75-80","M",39791.01,59257.98,14810
"18",18,"80-85","M",34480.38,51354.78,12572
"19",19,"85-90","M",23354.49,34738.035,8676
"20",20,"90-95","M",11399.565,16973.19,4055
"21",21,"95-100","M",3309.465,4970.205,1231
"22",22,"0-5","F",640.8,943.845,228
"23",23,"10-15","F",169.545,252.315,72
"24",24,"100+","F",1121.4,1672.755,424
"25",25,"15-20","F",452.565,651.48,150
"26",26,"20-25","F",957.195,1420.44,364
"27",27,"25-30","F",1456.485,2129.325,463
"28",28,"30-35","F",2516.475,3731.325,894
"29",29,"35-40","F",4067.745,6070.245,1551
"30",30,"40-45","F",5796.57,8582.715,2122
"31",31,"45-50","F",7590.81,11199.315,2713
"32",32,"5-10","F",90.78,134.835,39
"33",33,"50-55","F",10494.435,15652.875,3864
"34",34,"55-60","F",15299.1,22875.225,5591
"35",35,"60-65","F",21677.73,32298.99,7950
"36",36,"65-70","F",27195.285,40646.745,10113
"37",37,"70-75","F",29659.695,44100.39,10777
"38",38,"75-80","F",29097.66,43551.705,10656
"39",39,"80-85","F",29456.775,43850.745,10595
"40",40,"85-90","F",23295.75,34712.67,8489
"41",41,"90-95","F",14145.66,21071.64,5142
"42",42,"95-100","F",4765.95,7123.56,1701
