"","age","gender","deaths.x","deaths.y","deaths"
"1","0-9","Male",4,8,4
"2","10-19","Male",4,11,7
"3","20-29","Male",49,63,14
"4","30-39","Male",187,267,80
"5","40-49","Male",583,791,208
"6","50-59","Male",2349,3001,652
"7","60-69","Male",7681,9227,1546
"8","70-79","Male",18414.4,23728.6,5314.2
"9","80-89","Male",23520,25629,2109
"10","90+","Male",16011,18753.4,2742.4
"11","0-9","Female",1,5,4
"12","10-19","Female",8,8,0
"13","20-29","Female",50,69,19
"14","30-39","Female",122,172,50
"15","40-49","Female",402,515,113
"16","50-59","Female",1243,1624,381
"17","60-69","Female",3467,4366,899
"18","70-79","Female",9315.4,12636.2,3320.8
"19","80-89","Female",17655,19579,1924
"20","90+","Female",26015.6,30863,4847.4
