"gender","child_age","orphans"
"Female",0,13
"Female",1,15
"Female",2,17
"Female",3,17
"Female",4,19
"Female",5,22
"Female",6,21
"Female",7,25
"Female",8,26
"Female",9,29
"Female",10,32
"Female",11,33
"Female",12,37
"Female",13,42
"Female",14,46
"Female",15,51
"Female",16,54
"Female",17,60
"Male",0,37
"Male",1,42
"Male",2,47
"Male",3,53
"Male",4,58
"Male",5,63
"Male",6,70
"Male",7,75
"Male",8,83
"Male",9,89
"Male",10,98
"Male",11,114
"Male",12,131
"Male",13,134
"Male",14,148
"Male",15,163
"Male",16,186
"Male",17,210
