X,age,gender,deaths.x,deaths.y,deaths,child_age,nb_c,orphans
1,0-9,Male,4,8,4,0,0,0
1,0-9,Male,4,8,4,1,0,0
1,0-9,Male,4,8,4,2,0,0
1,0-9,Male,4,8,4,3,0,0
1,0-9,Male,4,8,4,4,0,0
1,0-9,Male,4,8,4,5,0,0
1,0-9,Male,4,8,4,6,0,0
1,0-9,Male,4,8,4,7,0,0
1,0-9,Male,4,8,4,8,0,0
1,0-9,Male,4,8,4,9,0,0
1,0-9,Male,4,8,4,10,0,0
1,0-9,Male,4,8,4,11,0,0
1,0-9,Male,4,8,4,12,0,0
1,0-9,Male,4,8,4,13,0,0
1,0-9,Male,4,8,4,14,0,0
1,0-9,Male,4,8,4,15,0,0
1,0-9,Male,4,8,4,16,0,0
1,0-9,Male,4,8,4,17,0,0
11,0-9,Female,6,7,1,0,0,0
11,0-9,Female,6,7,1,1,0,0
11,0-9,Female,6,7,1,2,0,0
11,0-9,Female,6,7,1,3,0,0
11,0-9,Female,6,7,1,4,0,0
11,0-9,Female,6,7,1,5,0,0
11,0-9,Female,6,7,1,6,0,0
11,0-9,Female,6,7,1,7,0,0
11,0-9,Female,6,7,1,8,0,0
11,0-9,Female,6,7,1,9,0,0
11,0-9,Female,6,7,1,10,0,0
11,0-9,Female,6,7,1,11,0,0
11,0-9,Female,6,7,1,12,0,0
11,0-9,Female,6,7,1,13,0,0
11,0-9,Female,6,7,1,14,0,0
11,0-9,Female,6,7,1,15,0,0
11,0-9,Female,6,7,1,16,0,0
11,0-9,Female,6,7,1,17,0,0
2,10-19,Male,8,10,2,0,3.931404212393125e-4,0
2,10-19,Male,8,10,2,1,3.145354733991316e-4,0
2,10-19,Male,8,10,2,2,2.359186883157174e-4,0
2,10-19,Male,8,10,2,3,1.572906725412016e-4,0
2,10-19,Male,8,10,2,4,8.7379939475185e-5,0
2,10-19,Male,8,10,2,5,0,0
2,10-19,Male,8,10,2,6,0,0
2,10-19,Male,8,10,2,7,0,0
2,10-19,Male,8,10,2,8,0,0
2,10-19,Male,8,10,2,9,0,0
2,10-19,Male,8,10,2,10,0,0
2,10-19,Male,8,10,2,11,0,0
2,10-19,Male,8,10,2,12,0,0
2,10-19,Male,8,10,2,13,0,0
2,10-19,Male,8,10,2,14,0,0
2,10-19,Male,8,10,2,15,0,0
2,10-19,Male,8,10,2,16,0,0
2,10-19,Male,8,10,2,17,0,0
12,10-19,Female,6,11.4,5.4,0,0.00261210843373494,0
12,10-19,Female,6,11.4,5.4,1,0.002089840470193116,0
12,10-19,Female,6,11.4,5.4,2,0.001567493857493856,0
12,10-19,Female,6,11.4,5.4,3,0.001045072625698324,0
12,10-19,Female,6,11.4,5.4,4,5.22573872472784e-4,0
12,10-19,Female,6,11.4,5.4,5,0,0
12,10-19,Female,6,11.4,5.4,6,0,0
12,10-19,Female,6,11.4,5.4,7,0,0
12,10-19,Female,6,11.4,5.4,8,0,0
12,10-19,Female,6,11.4,5.4,9,0,0
12,10-19,Female,6,11.4,5.4,10,0,0
12,10-19,Female,6,11.4,5.4,11,0,0
12,10-19,Female,6,11.4,5.4,12,0,0
12,10-19,Female,6,11.4,5.4,13,0,0
12,10-19,Female,6,11.4,5.4,14,0,0
12,10-19,Female,6,11.4,5.4,15,0,0
12,10-19,Female,6,11.4,5.4,16,0,0
12,10-19,Female,6,11.4,5.4,17,0,0
3,20-29,Male,38,46,8,0,0.02049441883524489,0
3,20-29,Male,38,46,8,1,0.017286266794938703,0
3,20-29,Male,38,46,8,2,0.014077626512283838,0
3,20-29,Male,38,46,8,3,0.010868532290457178,0
3,20-29,Male,38,46,8,4,0.00799425647242831,0
3,20-29,Male,38,46,8,5,0.0054147616530002395,0
3,20-29,Male,38,46,8,6,0.004433676337935671,0
3,20-29,Male,38,46,8,7,0.00362658474360873,0
3,20-29,Male,38,46,8,8,0.00276877076709631,0
3,20-29,Male,38,46,8,9,0.001681297725612075,0
3,20-29,Male,38,46,8,10,6.05184696179955e-4,0
3,20-29,Male,38,46,8,11,4.886209164010359e-4,0
3,20-29,Male,38,46,8,12,3.7486393323657604e-4,0
3,20-29,Male,38,46,8,13,2.4206743004865e-4,0
3,20-29,Male,38,46,8,14,1.21033872368885e-4,0
3,20-29,Male,38,46,8,15,0,0
3,20-29,Male,38,46,8,16,0,0
3,20-29,Male,38,46,8,17,0,0
13,20-29,Female,22,31,9,0,0.04544071686746985,0
13,20-29,Female,22,31,9,1,0.03950865344248527,0
13,20-29,Female,22,31,9,2,0.03357567854217855,0
13,20-29,Female,22,31,9,3,0.027641871787709507,0
13,20-29,Female,22,31,9,4,0.021707160186625215,0
13,20-29,Female,22,31,9,5,0.015807933826117584,0
13,20-29,Female,22,31,9,6,0.01569748436951178,0
13,20-29,Female,22,31,9,7,0.012509590556730104,0
13,20-29,Female,22,31,9,8,0.009321693262411345,0
13,20-29,Female,22,31,9,9,0.006133804651162795,0
13,20-29,Female,22,31,9,10,0.002945925628873495,0
13,20-29,Female,22,31,9,11,0.0027985804806992002,0
13,20-29,Female,22,31,9,12,0.002098938134978229,0
13,20-29,Female,22,31,9,13,0.001399294474539544,0
13,20-29,Female,22,31,9,14,6.99648146815401e-4,0
13,20-29,Female,22,31,9,15,0,0
13,20-29,Female,22,31,9,16,0,0
13,20-29,Female,22,31,9,17,0,0
4,30-39,Male,138,184,46,0,0.06634806840589044,3
4,30-39,Male,138,184,46,1,0.06316421636892877,3
4,30-39,Male,138,184,46,2,0.05997982682184603,3
4,30-39,Male,138,184,46,3,0.056795032544840696,3
4,30-39,Male,138,184,46,4,0.05440630013669506,3
4,30-39,Male,138,184,46,5,0.0535702050847303,2
4,30-39,Male,138,184,46,6,0.04737232413724694,2
4,30-39,Male,138,184,46,7,0.04191110967458174,2
4,30-39,Male,138,184,46,8,0.03741772436796853,2
4,30-39,Male,138,184,46,9,0.03091003132669107,1
4,30-39,Male,138,184,46,10,0.0248124246356594,1
4,30-39,Male,138,184,46,11,0.02143266447569539,1
4,30-39,Male,138,184,46,12,0.017893820677694273,1
4,30-39,Male,138,184,46,13,0.013629156400267853,1
4,30-39,Male,138,184,46,14,0.00980600105058953,0
4,30-39,Male,138,184,46,15,0.005972543149396371,0
4,30-39,Male,138,184,46,16,0.0048989165585582905,0
4,30-39,Male,138,184,46,17,0.003825275620188255,0
14,30-39,Female,79,109,30,0,0.0757935165662651,2
14,30-39,Female,79,109,30,1,0.07613231003358523,2
14,30-39,Female,79,109,30,2,0.07647106531531529,2
14,30-39,Female,79,109,30,3,0.07680994608938549,2
14,30-39,Female,79,109,30,4,0.0771487575816485,2
14,30-39,Female,79,109,30,5,0.07766615276311159,2
14,30-39,Female,79,109,30,6,0.0775613472427116,2
14,30-39,Female,79,109,30,7,0.07116311606765331,2
14,30-39,Female,79,109,30,8,0.0647648256028369,2
14,30-39,Female,79,109,30,9,0.05836651005366726,2
14,30-39,Female,79,109,30,10,0.051968047393364955,2
14,30-39,Female,79,109,30,11,0.04928594519300799,1
14,30-39,Female,79,109,30,12,0.04232743613933238,1
14,30-39,Female,79,109,30,13,0.03536892221018419,1
14,30-39,Female,79,109,30,14,0.02841037308384309,1
14,30-39,Female,79,109,30,15,0.02141490110841703,1
14,30-39,Female,79,109,30,16,0.017060765311746485,1
14,30-39,Female,79,109,30,17,0.013678564454327736,0
5,40-49,Male,724,849,125,0,0.02152833926351595,3
5,40-49,Male,724,849,125,1,0.02697142989893385,3
5,40-49,Male,724,849,125,2,0.03241528409434512,4
5,40-49,Male,724,849,125,3,0.037859964471605764,5
5,40-49,Male,724,849,125,4,0.04331940635691061,5
5,40-49,Male,724,849,125,5,0.04954890525159685,6
