age,year,fertility_rate,date,gender
under 15-NA,2015,0,2015,F
15-19,2015,0.10673928928313647,2015,F
20-24,2015,0.2244881741259748,2015,F
25-29,2015,0.20102840304945152,2015,F
30-34,2015,0.1677343997203485,2015,F
35-39,2015,0.127690403444347,2015,F
40-44,2015,0.061548959386340994,2015,F
45-49,2015,0.013053729194196919,2015,F
50-54,2015,0.0032085322641253523,2015,F
55-59,2015,0.0011773963633348325,2015,F
60-64,2015,7.661752817874374e-4,2015,F
65-69,2015,5.124751616044547e-4,2015,F
70-74,2015,0.01750046144907876,2015,F
75-79,2015,0,2015,F
80+,2015,0,2015,F
under 15-NA,2014,0,2014,F
15-19,2014,0.10673928928313647,2014,F
20-24,2014,0.2244881741259748,2014,F
25-29,2014,0.20102840304945152,2014,F
30-34,2014,0.1677343997203485,2014,F
35-39,2014,0.127690403444347,2014,F
40-44,2014,0.061548959386340994,2014,F
45-49,2014,0.013053729194196919,2014,F
50-54,2014,0.0032085322641253523,2014,F
55-59,2014,0.0011773963633348325,2014,F
60-64,2014,7.661752817874374e-4,2014,F
65-69,2014,5.124751616044547e-4,2014,F
70-74,2014,0.01750046144907876,2014,F
75-79,2014,0,2014,F
80+,2014,0,2014,F
under 15-NA,2013,0,2013,F
15-19,2013,0.10673928928313647,2013,F
20-24,2013,0.2244881741259748,2013,F
25-29,2013,0.20102840304945152,2013,F
30-34,2013,0.1677343997203485,2013,F
35-39,2013,0.127690403444347,2013,F
40-44,2013,0.061548959386340994,2013,F
45-49,2013,0.013053729194196919,2013,F
50-54,2013,0.0032085322641253523,2013,F
55-59,2013,0.0011773963633348325,2013,F
60-64,2013,7.661752817874374e-4,2013,F
65-69,2013,5.124751616044547e-4,2013,F
70-74,2013,0.01750046144907876,2013,F
75-79,2013,0,2013,F
80+,2013,0,2013,F
under 15-NA,2012,0,2012,F
15-19,2012,0.10673928928313647,2012,F
20-24,2012,0.2244881741259748,2012,F
25-29,2012,0.20102840304945152,2012,F
30-34,2012,0.1677343997203485,2012,F
35-39,2012,0.127690403444347,2012,F
40-44,2012,0.061548959386340994,2012,F
45-49,2012,0.013053729194196919,2012,F
50-54,2012,0.0032085322641253523,2012,F
55-59,2012,0.0011773963633348325,2012,F
60-64,2012,7.661752817874374e-4,2012,F
65-69,2012,5.124751616044547e-4,2012,F
70-74,2012,0.01750046144907876,2012,F
75-79,2012,0,2012,F
80+,2012,0,2012,F
under 15-NA,2011,0,2011,F
15-19,2011,0.10673928928313647,2011,F
