"","age","gender","deaths.x","deaths.y","deaths"
"1","0-4","Male",3,2,-1
"2","05-Sep","Male",3,5,2
"3","Oct-14","Male",7,10,3
"4","15-19","Male",7,9,2
"5","20-24","Male",20,27,7
"6","25-29","Male",34,46,12
"7","30-34","Male",34,46,12
"8","35-39","Male",7,10,3
"9","40-44","Male",7,9,2
"10","45-49","Male",103,159,56
"11","50-54","Male",172,250,78
"12","55-59","Male",182,256,74
"13","60-64","Male",253,365,112
"14","65-69","Male",187,273,86
"15","70-74","Male",182,255,73
"16","75-79","Male",122,163,41
"17","80-84","Male",87,111,24
"18","85+","Male",54,70,16
"19","0-4","Female",3,4,1
"20","05-Sep","Female",4,6,2
"21","Oct-14","Female",3,4,1
"22","15-19","Female",7,7,0
"23","20-24","Female",9,16,7
"24","25-29","Female",19,29,10
"25","30-34","Female",21,30,9
"26","35-39","Female",29,48,19
"27","40-44","Female",28,37,9
"28","45-49","Female",41,59,18
"29","50-54","Female",69,90,21
"30","55-59","Female",73,99,26
"31","60-64","Female",73,101,28
"32","65-69","Female",61,93,32
"33","70-74","Female",46,60,14
"34","75-79","Female",42,57,15
"35","80-84","Female",41,52,11
"36","85+","Female",32,39,7
