X,age,gender,COVID19_deaths.x,COVID19_deaths.y,COVID19_deaths,child_age,nb_c,orphans
1,0-9,Male,112,393,281,0,0,0
1,0-9,Male,112,393,281,1,0,0
1,0-9,Male,112,393,281,2,0,0
1,0-9,Male,112,393,281,3,0,0
1,0-9,Male,112,393,281,4,0,0
1,0-9,Male,112,393,281,5,0,0
1,0-9,Male,112,393,281,6,0,0
1,0-9,Male,112,393,281,7,0,0
1,0-9,Male,112,393,281,8,0,0
1,0-9,Male,112,393,281,9,0,0
1,0-9,Male,112,393,281,10,0,0
1,0-9,Male,112,393,281,11,0,0
1,0-9,Male,112,393,281,12,0,0
1,0-9,Male,112,393,281,13,0,0
1,0-9,Male,112,393,281,14,0,0
1,0-9,Male,112,393,281,15,0,0
1,0-9,Male,112,393,281,16,0,0
1,0-9,Male,112,393,281,17,0,0
11,0-9,Female,90,314,224,0,0,0
11,0-9,Female,90,314,224,1,0,0
11,0-9,Female,90,314,224,2,0,0
11,0-9,Female,90,314,224,3,0,0
11,0-9,Female,90,314,224,4,0,0
11,0-9,Female,90,314,224,5,0,0
11,0-9,Female,90,314,224,6,0,0
11,0-9,Female,90,314,224,7,0,0
11,0-9,Female,90,314,224,8,0,0
11,0-9,Female,90,314,224,9,0,0
11,0-9,Female,90,314,224,10,0,0
11,0-9,Female,90,314,224,11,0,0
11,0-9,Female,90,314,224,12,0,0
11,0-9,Female,90,314,224,13,0,0
11,0-9,Female,90,314,224,14,0,0
11,0-9,Female,90,314,224,15,0,0
11,0-9,Female,90,314,224,16,0,0
11,0-9,Female,90,314,224,17,0,0
2,10-19,Male,108,310,202,0,0.005809445524305,1
2,10-19,Male,108,310,202,1,0.004647556419444,1
2,10-19,Male,108,310,202,2,0.0034856673145830003,1
2,10-19,Male,108,310,202,3,0.002323778209722,0
2,10-19,Male,108,310,202,4,0.001161889104861,0
2,10-19,Male,108,310,202,5,0,0
2,10-19,Male,108,310,202,6,0,0
2,10-19,Male,108,310,202,7,0,0
2,10-19,Male,108,310,202,8,0,0
2,10-19,Male,108,310,202,9,0,0
2,10-19,Male,108,310,202,10,0,0
2,10-19,Male,108,310,202,11,0,0
2,10-19,Male,108,310,202,12,0,0
2,10-19,Male,108,310,202,13,0,0
2,10-19,Male,108,310,202,14,0,0
2,10-19,Male,108,310,202,15,0,0
2,10-19,Male,108,310,202,16,0,0
2,10-19,Male,108,310,202,17,0,0
12,10-19,Female,96,304,208,0,0.033504554430952,7
12,10-19,Female,96,304,208,1,0.026803643544761602,6
12,10-19,Female,96,304,208,2,0.020102732658571203,4
12,10-19,Female,96,304,208,3,0.013401821772380801,3
12,10-19,Female,96,304,208,4,0.006700910886190401,1
12,10-19,Female,96,304,208,5,0,0
12,10-19,Female,96,304,208,6,0,0
12,10-19,Female,96,304,208,7,0,0
12,10-19,Female,96,304,208,8,0,0
12,10-19,Female,96,304,208,9,0,0
12,10-19,Female,96,304,208,10,0,0
12,10-19,Female,96,304,208,11,0,0
12,10-19,Female,96,304,208,12,0,0
12,10-19,Female,96,304,208,13,0,0
12,10-19,Female,96,304,208,14,0,0
12,10-19,Female,96,304,208,15,0,0
12,10-19,Female,96,304,208,16,0,0
12,10-19,Female,96,304,208,17,0,0
3,20-29,Male,430,1372,942,0,0.10984157057247695,103
3,20-29,Male,430,1372,942,1,0.09770031130644495,92
3,20-29,Male,430,1372,942,2,0.08555905204041295,81
3,20-29,Male,430,1372,942,3,0.07341779277438096,69
3,20-29,Male,430,1372,942,4,0.061276533508348954,58
3,20-29,Male,430,1372,942,5,0.04913527424231695,46
3,20-29,Male,430,1372,942,6,0.04047010849871456,38
3,20-29,Male,430,1372,942,7,0.03180494275511217,30
3,20-29,Male,430,1372,942,8,0.02313977701150978,22
3,20-29,Male,430,1372,942,9,0.012888803489004785,12
3,20-29,Male,430,1372,942,10,0.004773764251203235,4
3,20-29,Male,430,1372,942,11,0.0031311957246722157,3
3,20-29,Male,430,1372,942,12,0.0023483967935041617,2
3,20-29,Male,430,1372,942,13,0.001557408454479776,1
3,20-29,Male,430,1372,942,14,7.78704227239888e-4,1
3,20-29,Male,430,1372,942,15,0,0
3,20-29,Male,430,1372,942,16,0,0
3,20-29,Male,430,1372,942,17,0,0
13,20-29,Female,241,882,641,0,0.13147815080130648,84
13,20-29,Female,241,882,641,1,0.125296630274006,80
13,20-29,Female,241,882,641,2,0.1191151097467055,76
13,20-29,Female,241,882,641,3,0.112933589219405,72
13,20-29,Female,241,882,641,4,0.1067520686921045,68
13,20-29,Female,241,882,641,5,0.100570548164804,64
13,20-29,Female,241,882,641,6,0.0871573494180336,56
13,20-29,Female,241,882,641,7,0.0737441506712632,47
13,20-29,Female,241,882,641,8,0.0603309519244928,39
13,20-29,Female,241,882,641,9,0.04539010375620425,29
13,20-29,Female,241,882,641,10,0.0328767260243498,21
13,20-29,Female,241,882,641,11,0.027140672014846563,17
13,20-29,Female,241,882,641,12,0.020355504011134923,13
13,20-29,Female,241,882,641,13,0.012503263999350919,8
13,20-29,Female,241,882,641,14,0.006251631999675459,4
13,20-29,Female,241,882,641,15,0,0
13,20-29,Female,241,882,641,16,0,0
13,20-29,Female,241,882,641,17,0,0
4,30-39,Male,1362,4519,3157,0,0.124063100815659,392
4,30-39,Male,1362,4519,3157,1,0.12639323331672558,399
4,30-39,Male,1362,4519,3157,2,0.1287233658177922,406
4,30-39,Male,1362,4519,3157,3,0.1310534983188588,414
4,30-39,Male,1362,4519,3157,4,0.1333836308199254,421
4,30-39,Male,1362,4519,3157,5,0.135713763320992,428
4,30-39,Male,1362,4519,3157,6,0.130539324771289,412
4,30-39,Male,1362,4519,3157,7,0.12536488622158598,396
4,30-39,Male,1362,4519,3157,8,0.12019044767188297,379
4,30-39,Male,1362,4519,3157,9,0.11177632897994076,353
4,30-39,Male,1362,4519,3157,10,0.10509293316452445,332
4,30-39,Male,1362,4519,3157,11,0.10058089025683946,318
4,30-39,Male,1362,4519,3157,12,0.08772198015681801,277
4,30-39,Male,1362,4519,3157,13,0.06763912645638372,214
4,30-39,Male,1362,4519,3157,14,0.055194746362233,174
4,30-39,Male,1362,4519,3157,15,0.04275036626808229,135
4,30-39,Male,1362,4519,3157,16,0.03496494554310614,110
4,30-39,Male,1362,4519,3157,17,0.027199476406422056,86
14,30-39,Female,667,2296,1629,0,0.0958308907075669,156
14,30-39,Female,667,2296,1629,1,0.10066230579266253,164
14,30-39,Female,667,2296,1629,2,0.10549372087775814,172
14,30-39,Female,667,2296,1629,3,0.11032513596285376,180
14,30-39,Female,667,2296,1629,4,0.11515655104794938,188
14,30-39,Female,667,2296,1629,5,0.119987966133045,195
14,30-39,Female,667,2296,1629,6,0.1222860030666973,199
14,30-39,Female,667,2296,1629,7,0.1245840400003496,203
14,30-39,Female,667,2296,1629,8,0.12688207693400189,207
14,30-39,Female,667,2296,1629,9,0.1320646668156448,215
14,30-39,Female,667,2296,1629,10,0.134168646798795,219
14,30-39,Female,667,2296,1629,11,0.13365071099353384,218
14,30-39,Female,667,2296,1629,12,0.12652313859145467,206
