"Period","age","fertility_rate","country","gender","date"
"2000-2005","15-19",27.613,"Russian Federation","Female","2003"
"2000-2005","15-19",27.613,"Russian Federation","Female","2004"
"2005-2010","15-19",29.643,"Russian Federation","Female","2005"
"2005-2010","15-19",29.643,"Russian Federation","Female","2006"
"2005-2010","15-19",29.643,"Russian Federation","Female","2007"
"2005-2010","15-19",29.643,"Russian Federation","Female","2008"
"2005-2010","15-19",29.643,"Russian Federation","Female","2009"
"2010-2015","15-19",26.42,"Russian Federation","Female","2010"
"2010-2015","15-19",26.42,"Russian Federation","Female","2011"
"2010-2015","15-19",26.42,"Russian Federation","Female","2012"
"2010-2015","15-19",26.42,"Russian Federation","Female","2013"
"2010-2015","15-19",26.42,"Russian Federation","Female","2014"
"2015-2020","15-19",20.699,"Russian Federation","Female","2015"
"2015-2020","15-19",20.699,"Russian Federation","Female","2016"
"2015-2020","15-19",20.699,"Russian Federation","Female","2017"
"2015-2020","15-19",20.699,"Russian Federation","Female","2018"
"2015-2020","15-19",20.699,"Russian Federation","Female","2019"
"2000-2005","20-24",94.92,"Russian Federation","Female","2003"
"2000-2005","20-24",94.92,"Russian Federation","Female","2004"
"2005-2010","20-24",88.689,"Russian Federation","Female","2005"
"2005-2010","20-24",88.689,"Russian Federation","Female","2006"
"2005-2010","20-24",88.689,"Russian Federation","Female","2007"
"2005-2010","20-24",88.689,"Russian Federation","Female","2008"
"2005-2010","20-24",88.689,"Russian Federation","Female","2009"
"2010-2015","20-24",89.451,"Russian Federation","Female","2010"
"2010-2015","20-24",89.451,"Russian Federation","Female","2011"
"2010-2015","20-24",89.451,"Russian Federation","Female","2012"
"2010-2015","20-24",89.451,"Russian Federation","Female","2013"
"2010-2015","20-24",89.451,"Russian Federation","Female","2014"
"2015-2020","20-24",85.486,"Russian Federation","Female","2015"
"2015-2020","20-24",85.486,"Russian Federation","Female","2016"
"2015-2020","20-24",85.486,"Russian Federation","Female","2017"
