age,year,fertility_rate,date,gender
15-19,2016,0.003281378178835111,2016,M
20-24,2016,0.03146853146853147,2016,M
25-29,2016,0.11376146788990826,2016,M
30-34,2016,0.1691699604743083,2016,M
35-39,2016,0.15794621026894864,2016,M
40-44,2016,0.1288056206088993,2016,M
45-49,2016,0.06022408963585434,2016,M
50-54,2016,0.029888983774551667,2016,M
55-59,2016,0.014861995753715499,2016,M
60-64,2016,0.010958904109589041,2016,M
65-69,2016,0.00202020202020202,2016,M
70-74,2016,0.006006006006006006,2016,M
75-79,2016,0,2016,M
80+,2016,0,2016,M
15-19,2015,0.002451982018798529,2015,M
20-24,2015,0.03189853958493467,2015,M
25-29,2015,0.11691176470588235,2015,M
30-34,2015,0.16449511400651465,2015,M
35-39,2015,0.1782630777044185,2015,M
40-44,2015,0.12874251497005987,2015,M
45-49,2015,0.0524048815506102,2015,M
50-54,2015,0.03409090909090909,2015,M
55-59,2015,0.018458197611292075,2015,M
60-64,2015,0.00846262341325811,2015,M
65-69,2015,0.006289308176100629,2015,M
70-74,2015,0.003048780487804878,2015,M
75-79,2015,0,2015,M
80+,2015,0,2015,M
15-19,2014,0.002843216896831844,2014,M
20-24,2014,0.03268719118206005,2014,M
25-29,2014,0.13074074074074074,2014,M
30-34,2014,0.1616288832913518,2014,M
35-39,2014,0.1762252346193952,2014,M
40-44,2014,0.13655848132271892,2014,M
45-49,2014,0.060650887573964495,2014,M
50-54,2014,0.027953110910730387,2014,M
55-59,2014,0.02244668911335578,2014,M
60-64,2014,0.013293943870014771,2014,M
65-69,2014,0.008733624454148471,2014,M
70-74,2014,0.00625,2014,M
75-79,2014,0,2014,M
80+,2014,0,2014,M
15-19,2013,0.004435483870967742,2013,M
20-24,2013,0.04475366679202708,2013,M
25-29,2013,0.11890472618154539,2013,M
30-34,2013,0.16478260869565217,2013,M
35-39,2013,0.16036228023441662,2013,M
40-44,2013,0.11446540880503145,2013,M
45-49,2013,0.05873379099923722,2013,M
50-54,2013,0.037209302325581395,2013,M
55-59,2013,0.027842227378190254,2013,M
60-64,2013,0.012441679626749611,2013,M
65-69,2013,0.006756756756756757,2013,M
70-74,2013,0.003215434083601286,2013,M
75-79,2013,0,2013,M
80+,2013,0,2013,M
15-19,2012,0.0048,2012,M
20-24,2012,0.03539493293591654,2012,M
25-29,2012,0.13091603053435114,2012,M
30-34,2012,0.15405405405405406,2012,M
35-39,2012,0.15463917525773196,2012,M
40-44,2012,0.11730395333765392,2012,M
45-49,2012,0.055031446540880505,2012,M
50-54,2012,0.026897214217098942,2012,M
55-59,2012,0.017964071856287425,2012,M
60-64,2012,0.009852216748768473,2012,M
65-69,2012,0,2012,M
70-74,2012,0.006622516556291391,2012,M
75-79,2012,0,2012,M
80+,2012,0,2012,M
15-19,2011,0.005148514851485149,2011,M
20-24,2011,0.06738245094409478,2011,M
25-29,2011,0.11288439081354612,2011,M
30-34,2011,0.1419264774313634,2011,M
35-39,2011,0.13495575221238937,2011,M
40-44,2011,0.08355614973262032,2011,M
45-49,2011,0.08097165991902834,2011,M
50-54,2011,0.022794846382556987,2011,M
55-59,2011,0.0037128712871287127,2011,M
60-64,2011,0.0017241379310344827,2011,M
65-69,2011,0.0069767441860465115,2011,M
70-74,2011,0,2011,M
75-79,2011,0,2011,M
80+,2011,0,2011,M
15-19,2010,0.004692999608916699,2010,M
20-24,2010,0.059800664451827246,2010,M
25-29,2010,0.11040508339952343,2010,M
30-34,2010,0.13951266125179168,2010,M
35-39,2010,0.1582815149802148,2010,M
40-44,2010,0.0881542699724518,2010,M
45-49,2010,0.07410491257285595,2010,M
50-54,2010,0.025510204081632654,2010,M
55-59,2010,0.0076824583866837385,2010,M
60-64,2010,0.0017953321364452424,2010,M
65-69,2010,0.025943396226415096,2010,M
70-74,2010,0,2010,M
75-79,2010,0,2010,M
80+,2010,0,2010,M
15-19,2009,0.005401234567901234,2009,M
20-24,2009,0.07158753709198813,2009,M
25-29,2009,0.11588861588861589,2009,M
30-34,2009,0.14003944773175542,2009,M
35-39,2009,0.15304347826086956,2009,M
40-44,2009,0.08045165843330981,2009,M
45-49,2009,0.07155025553662692,2009,M
50-54,2009,0.031315240083507306,2009,M
55-59,2009,0.003978779840848806,2009,M
60-64,2009,0.0018484288354898336,2009,M
65-69,2009,0.007177033492822967,2009,M
70-74,2009,0,2009,M
75-79,2009,0,2009,M
80+,2009,0,2009,M
15-19,2008,0.007224334600760456,2008,M
20-24,2008,0.06296851574212893,2008,M
25-29,2008,0.1084286319356205,2008,M
30-34,2008,0.15656565656565657,2008,M
35-39,2008,0.14319667260843733,2008,M
40-44,2008,0.09156452775775054,2008,M
45-49,2008,0.07055749128919861,2008,M
50-54,2008,0.046858359957401494,2008,M
55-59,2008,0.006906077348066298,2008,M
60-64,2008,0.005639097744360902,2008,M
65-69,2008,0.0072992700729927005,2008,M
70-74,2008,0,2008,M
75-79,2008,0,2008,M
80+,2008,0,2008,M
15-19,2007,0.004878048780487805,2007,M
20-24,2007,0.06316590563165905,2007,M
25-29,2007,0.11968434896975011,2007,M
30-34,2007,0.1477857878475798,2007,M
35-39,2007,0.14555420219244825,2007,M
40-44,2007,0.07947019867549669,2007,M
45-49,2007,0.05253784505788068,2007,M
50-54,2007,0.0391304347826087,2007,M
55-59,2007,0.007215007215007215,2007,M
60-64,2007,0.003780718336483932,2007,M
65-69,2007,0.0024752475247524753,2007,M
70-74,2007,0,2007,M
75-79,2007,0,2007,M
80+,2007,0,2007,M
15-19,2006,0.007065823726292302,2006,M
20-24,2006,0.05044625533566162,2006,M
25-29,2006,0.07974626189397371,2006,M
30-34,2006,0.13357778941854373,2006,M
35-39,2006,0.10799001248439451,2006,M
40-44,2006,0.08408408408408409,2006,M
45-49,2006,0.053636363636363635,2006,M
50-54,2006,0.025583982202447165,2006,M
55-59,2006,0.0075075075075075074,2006,M
60-64,2006,0,2006,M
65-69,2006,0.005025125628140704,2006,M
70-74,2006,0.0035587188612099642,2006,M
75-79,2006,0.006060606060606061,2006,M
80+,2006,0,2006,M
15-19,2005,0.008531157270029673,2005,M
20-24,2005,0.04962286621675268,2005,M
25-29,2005,0.07179487179487179,2005,M
30-34,2005,0.12219850586979722,2005,M
35-39,2005,0.10791826309067688,2005,M
40-44,2005,0.0843558282208589,2005,M
45-49,2005,0.05013927576601671,2005,M
50-54,2005,0.04342857142857143,2005,M
55-59,2005,0.010852713178294573,2005,M
60-64,2005,0,2005,M
65-69,2005,0,2005,M
70-74,2005,0.007168458781362007,2005,M
75-79,2005,0.0125,2005,M
80+,2005,0,2005,M
15-19,2004,0.008935219657483246,2004,M
20-24,2004,0.04525071341214839,2004,M
25-29,2004,0.08097747963584093,2004,M
30-34,2004,0.13081554460864805,2004,M
35-39,2004,0.10885245901639344,2004,M
40-44,2004,0.08941176470588236,2004,M
45-49,2004,0.041666666666666664,2004,M
50-54,2004,0.045990566037735846,2004,M
55-59,2004,0.012718600953895072,2004,M
60-64,2004,0.0019305019305019305,2004,M
65-69,2004,0.005141388174807198,2004,M
70-74,2004,0.007220216606498195,2004,M
75-79,2004,0.012578616352201259,2004,M
80+,2004,0,2004,M
15-19,2003,0.007140172867343104,2003,M
20-24,2003,0.0474989491382934,2003,M
25-29,2003,0.07401960784313726,2003,M
30-34,2003,0.1288688801350591,2003,M
35-39,2003,0.1155137676292814,2003,M
40-44,2003,0.08660785886126704,2003,M
45-49,2003,0.04922779922779923,2003,M
50-54,2003,0.031862745098039214,2003,M
55-59,2003,0.017713365539452495,2003,M
60-64,2003,0,2003,M
65-69,2003,0.002583979328165375,2003,M
70-74,2003,0.014545454545454545,2003,M
75-79,2003,0.012658227848101266,2003,M
80+,2003,0,2003,M
15-19,2002,0.006099885627144491,2002,M
20-24,2002,0.04606692742285962,2002,M
25-29,2002,0.094,2002,M
30-34,2002,0.13425925925925927,2002,M
35-39,2002,0.09690721649484536,2002,M
40-44,2002,0.08688524590163935,2002,M
45-49,2002,0.04424778761061947,2002,M
50-54,2002,0.030690537084398978,2002,M
55-59,2002,0.019417475728155338,2002,M
60-64,2002,0,2002,M
65-69,2002,0,2002,M
70-74,2002,0.003676470588235294,2002,M
75-79,2002,0.019230769230769232,2002,M
80+,2002,0,2002,M
15-19,2017,0.0032881216605014385,2017,M
20-24,2017,0.03690616411464468,2017,M
25-29,2017,0.11946902654867257,2017,M
30-34,2017,0.17386276021588282,2017,M
35-39,2017,0.1541705716963449,2017,M
40-44,2017,0.13080895008605853,2017,M
45-49,2017,0.05669398907103825,2017,M
50-54,2017,0.04420350291909925,2017,M
55-59,2017,0.012448132780082987,2017,M
60-64,2017,0.009358288770053475,2017,M
65-69,2017,0.0019342359767891683,2017,M
70-74,2017,0,2017,M
75-79,2017,0,2017,M
80+,2017,0,2017,M
15-19,2018,0.0016440608302507192,2018,M
20-24,2018,0.03373015873015873,2018,M
25-29,2018,0.12020841086713807,2018,M
30-34,2018,0.17718171514922554,2018,M
35-39,2018,0.1526032315978456,2018,M
40-44,2018,0.12970241437394722,2018,M
45-49,2018,0.06324900133155792,2018,M
50-54,2018,0.03175895765472313,2018,M
55-59,2018,0.016227180527383367,2018,M
60-64,2018,0.01174934725848564,2018,M
65-69,2018,0.005545286506469501,2018,M
70-74,2018,0.008823529411764706,2018,M
75-79,2018,0,2018,M
80+,2018,0,2018,M
15-19,2019,0.0049079754601227,2019,M
20-24,2019,0.030036043251902282,2019,M
25-29,2019,0.12490594431903687,2019,M
30-34,2019,0.16939687267311987,2019,M
35-39,2019,0.16034482758620688,2019,M
40-44,2019,0.12950819672131147,2019,M
45-49,2019,0.05779220779220779,2019,M
50-54,2019,0.03415409054805401,2019,M
55-59,2019,0.02178217821782178,2019,M
