0years,1years,2years,3years,4years,5years,6years,7years,8years,9years,10years,11years,12years,13years,14years,15years,16years,17years
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003015075376884422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003015075376884422,0.002974714923153198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003015075376884422,0.002974714923153198,0.002962962962962963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003015075376884422,0.002974714923153198,0.002962962962962963,0.0029354207436399216,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003015075376884422,0.002974714923153198,0.002962962962962963,0.0029354207436399216,0.0028462998102466793,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003015075376884422,0.002974714923153198,0.002962962962962963,0.0029354207436399216,0.0028462998102466793,4.0096230954290296e-4,0,0,0,0,0,0,0,0,0,0,0,0
0.003015075376884422,0.002974714923153198,0.002962962962962963,0.0029354207436399216,0.0028462998102466793,4.0096230954290296e-4,4.079967360261118e-4,0,0,0,0,0,0,0,0,0,0,0
0.003015075376884422,0.002974714923153198,0.002962962962962963,0.0029354207436399216,0.0028462998102466793,4.0096230954290296e-4,4.079967360261118e-4,4.1911148365465214e-4,0,0,0,0,0,0,0,0,0,0
