"","age","gender","covid_deaths","excess_deaths","deaths","nb_excess_sample","nb_covid19_sample"
"1","0-9","Male",8,0,5,0,5
"2","10-19","Male",8,0,9,0,9
"3","20-29","Male",51,0,38,0,38
"4","30-39","Male",126,0,131,0,131
"5","40-49","Male",509,0,495,0,495
"6","50-59","Male",1935,1431,1877,1418,1877
"7","60-69","Male",5315,6814,6774,6774,5355
"8","70-79","Male",11323,15237.8,15048,15048,11410
"9","80+","Male",23903,28691.2,28658,28658,23904
"10","0-9","Female",4,0,3,0,3
"11","10-19","Female",14,4.2,12,6,12
"12","20-29","Female",40,0,43,0,43
"13","30-39","Female",84,0,86,0,86
"14","40-49","Female",269,82.4,261,89,261
"15","50-59","Female",844,1060.6,1052,1052,840
"16","60-69","Female",2066,3690.6,3724,3724,2084
"17","70-79","Female",5696,8039.6,8118,8118,5679
"18","80+","Female",26019,30680.8,30597,30597,26145
