age,gender,deaths,child_age,nb_c,orphans
1-10,Male,0,0,0,0
1-10,Male,0,1,0,0
1-10,Male,0,2,0,0
1-10,Male,0,3,0,0
1-10,Male,0,4,0,0
1-10,Male,0,5,0,0
1-10,Male,0,6,0,0
1-10,Male,0,7,0,0
1-10,Male,0,8,0,0
1-10,Male,0,9,0,0
1-10,Male,0,10,0,0
1-10,Male,0,11,0,0
1-10,Male,0,12,0,0
1-10,Male,0,13,0,0
1-10,Male,0,14,0,0
1-10,Male,0,15,0,0
1-10,Male,0,16,0,0
1-10,Male,0,17,0,0
1-10,Female,16,0,0,0
1-10,Female,16,1,0,0
1-10,Female,16,2,0,0
1-10,Female,16,3,0,0
1-10,Female,16,4,0,0
1-10,Female,16,5,0,0
1-10,Female,16,6,0,0
1-10,Female,16,7,0,0
1-10,Female,16,8,0,0
1-10,Female,16,9,0,0
1-10,Female,16,10,0,0
1-10,Female,16,11,0,0
1-10,Female,16,12,0,0
1-10,Female,16,13,0,0
1-10,Female,16,14,0,0
1-10,Female,16,15,0,0
1-10,Female,16,16,0,0
1-10,Female,16,17,0,0
11-20,Male,8,0,0.00131214100997138,0
11-20,Male,8,1,0.001049712807977104,0
11-20,Male,8,2,7.87284605982828e-4,0
11-20,Male,8,3,5.24856403988552e-4,0
11-20,Male,8,4,2.62428201994276e-4,0
11-20,Male,8,5,0,0
11-20,Male,8,6,0,0
11-20,Male,8,7,0,0
11-20,Male,8,8,0,0
11-20,Male,8,9,0,0
11-20,Male,8,10,0,0
11-20,Male,8,11,0,0
11-20,Male,8,12,0,0
11-20,Male,8,13,0,0
11-20,Male,8,14,0,0
11-20,Male,8,15,0,0
11-20,Male,8,16,0,0
11-20,Male,8,17,0,0
11-20,Female,8,0,0.03893709949962695,0
11-20,Female,8,1,0.03114967959970156,0
11-20,Female,8,2,0.023362259699776167,0
11-20,Female,8,3,0.01557483979985078,0
11-20,Female,8,4,0.00778741989992539,0
11-20,Female,8,5,0,0
11-20,Female,8,6,0,0
11-20,Female,8,7,0,0
11-20,Female,8,8,0,0
11-20,Female,8,9,0,0
11-20,Female,8,10,0,0
11-20,Female,8,11,0,0
11-20,Female,8,12,0,0
11-20,Female,8,13,0,0
11-20,Female,8,14,0,0
11-20,Female,8,15,0,0
11-20,Female,8,16,0,0
11-20,Female,8,17,0,0
21-30,Male,83,0,0.1606947365350061,13
21-30,Male,83,1,0.13866790327431777,12
21-30,Male,83,2,0.11664107001362946,10
21-30,Male,83,3,0.09461423675294113,8
21-30,Male,83,4,0.0725874034922528,6
21-30,Male,83,5,0.05056057023156448,4
21-30,Male,83,6,0.04071088438724586,3
21-30,Male,83,7,0.03086119854292724,3
