"category","gender","li_raw","ui_raw","li_percent","ui_percent","raw","percent","country"
"[0-5)","Female",327,379,2.51223675467547,2.92683861321372,353,2.71392327208426,"Argentina"
"[0-5)","Male",1329,1493.025,10.3337546064801,11.4547742680016,1421,10.9248865995233,"Argentina"
"[5-10)","Female",519,581,4.01592823805538,4.50502851327745,551,4.23618051818252,"Argentina"
"[5-10)","Male",2088,2293.025,16.2562588892182,17.5698077760822,2204,16.9447220727301,"Argentina"
"[10-18)","Female",1679.95,1837.025,12.9417914539744,14.2108523638467,1756,13.500422849235,"Argentina"
"[10-18)","Male",6453.975,6936.075,50.6066263769817,52.6302895105437,6722,51.6798646882448,"Argentina"
"[0-5)","Female",3629.831625,3846.135,3.20188261229282,3.41135674898932,3736.665,3.30179776341245,"Brazil"
"[0-5)","Male",16991.846625,18361.59,15.0796431316483,16.1539321322944,17694.09,15.634879441325,"Brazil"
"[5-10)","Female",5532.206625,5812.65675,4.88768832246786,5.14043920198508,5657.73,4.99929221912896,"Brazil"
"[5-10)","Male",21644.321625,22867.68225,19.2479215095791,20.1343400688136,22273.14,19.6810267541169,"Brazil"
"[10-18)","Female",15918.54,16559.607,14.0377903285564,14.6716393513349,16229.595,14.3408200821026,"Brazil"
"[10-18)","Male",46636.68975,48431.296875,41.4633023361304,42.5725674388655,47579.4,42.0421837399141,"Brazil"
"[0-5)","Female",730.160296,827.922344,2.45493826099275,2.7763881064015,779.04132,2.60829540224007,"Colombia"
"[0-5)","Male",3220.037456,3592.8698289,10.8624842804499,12.0219598592819,3438.474532,11.5122999028282,"Colombia"
"[5-10)","Female",1066.1409594,1186.892364,3.58147379032054,3.99391408438971,1127.318616,3.77435687618268,"Colombia"
"[5-10)","Male",5028.5589674,5482.4269129,17.0422053946237,18.2716845195842,5254.71008,17.5932082033448,"Colombia"
"[10-18)","Female",3238.3296517,3510.268536,10.8600224816302,11.8349812621731,3369.735592,11.2821561908659,"Colombia"
"[10-18)","Male",15316.5251757,16421.0453766,52.3000111108629,54.1647875441555,15898.553056,53.2296834245384,"Colombia"
"[0-5)","Female",328,371,3.87801334911976,4.32485794951992,348,4.09845718996585,"England & Wales"
"[0-5)","Male",799,855,9.49303714750519,9.99068024955272,827,9.7397244140855,"England & Wales"
"[5-10)","Female",538,596,6.37386389018709,6.96582106357178,564,6.64232716994465,"England & Wales"
"[5-10)","Male",1359.975,1433,16.1548767893622,16.7304626282987,1397,16.4527146390296,"England & Wales"
"[10-18)","Female",1391,1501,16.4540223172074,17.5463500910088,1443,16.9944647273584,"England & Wales"
"[10-18)","Male",3837,3988,45.4269284151023,46.6717769139574,3912,46.0723118596161,"England & Wales"
"[0-5)","Female",112,137.025,2.78039845954434,3.35248339217458,126,3.09506263817244,"France"
"[0-5)","Male",310,346,7.71885512312499,8.40112594175216,328,8.05698845492508,"France"
"[5-10)","Female",208.975,244,5.16894450227767,5.90596874570287,228,5.6005895357406,"France"
"[5-10)","Male",581.975,632,14.5168429920915,15.2869933097206,605,14.8612134610661,"France"
"[10-18)","Female",678,760,16.8165031850369,18.4876163657255,721,17.7106362073201,"France"
"[10-18)","Male",2007,2126.025,49.8332568596147,51.7268317265095,2063,50.6755097027757,"France"
"[0-5)","Female",44,60,2.82481445250197,3.73834788529559,53,3.33333333333333,"Germany"
"[0-5)","Male",136,156,8.75,9.69936436988783,146,9.18238993710692,"Germany"
"[5-10)","Female",68,86,4.37621418189674,5.39079208446584,79,4.9685534591195,"Germany"
"[5-10)","Male",235,261,15.1705725758394,16.1721542837738,247,15.5345911949686,"Germany"
"[10-18)","Female",217.975,254,13.8958064796587,15.9019532654054,239,15.0314465408805,"Germany"
"[10-18)","Male",796,851,50.9100280059021,53.2365097117016,826,51.9496855345912,"Germany"
"[0-5)","Female",22966.014083266,24278.0383192432,2.59503466495477,2.73770010409093,23661.652761686,2.67107920125645,"India"
"[0-5)","Male",97826.673576664,100729.971289527,11.0832032491362,11.3410152647525,99317.327887564,11.211577294144,"India"
"[5-10)","Female",36093.709714592,37564.48863468,4.08287495669467,4.23472160435083,36839.036870042,4.15862687906664,"India"
"[5-10)","Male",148826.677957871,152404.993631186,16.8656997262561,17.1440828971633,150685.275441178,17.0103208436168,"India"
"[10-18)","Female",132320.165888505,136454.992504556,14.9683662893312,15.390518894477,134476.894233992,15.1806147632937,"India"
"[10-18)","Male",436889.909364437,445119.563372531,49.5221955723504,50.0180163743459,440865.981296378,49.7677810186224,"India"
"[0-5)","Female",1413.310732,1556.2557,3.51914158541373,3.83377696046823,1487.08878,3.67730900798176,"Iran (Islamic Republic of)"
"[0-5)","Male",5189.824564,5436.519912,12.9353796597358,13.3757047982152,5318.936148,13.1527936145952,"Iran (Islamic Republic of)"
"[5-10)","Female",2010.3941689,2164.9822351,4.98743167850417,5.33690598790796,2088.840984,5.16533637400228,"Iran (Islamic Republic of)"
"[5-10)","Male",7158.77622,7428.5848471,17.8525696328051,18.2210039119025,7292.498932,18.0330672748005,"Iran (Islamic Republic of)"
